code,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,city_name
dgo,durango/mx:guadalupe victoria,dgo,y,,mx,namer,durango
dgp,daugavpils/lv,dgp,y,,lv,eeuro,daugavpils
dgr,dargaville/nz,dgr,y,,nz,austl,dargaville
dgt,dumaguete/ph,dgt,y,,ph,pacif,dumaguete
dgu,dedougou/bf,dgu,y,,bf,afric,dedougou
dgw,douglas/wy/us:converse county,dgw,y,wy,us,namer,douglas
dha,dhahran/sa,dha,y,,sa,meast,dhahran
dhd,durham downs/ql/au,dhd,y,ql,au,austl,durham downs
dhf,abu dhabi/ae:al dhafra milit,auh,y,,ae,meast,abu dhabi
dhi,dhangarhi/np,dhi,y,,np,asia,dhangarhi
dhl,dhala/ye,dhl,y,,ye,meast,dhala
dhm,dharamsala/in:gaggal airport,dhm,y,,in,asia,dharamsala
dhn,dothan/al/us:regional apt,dhn,y,al,us,namer,dothan
dhr,den helder/nl:de kooy,dhr,y,,nl,europ,den helder
dht,dalhart/tx/us,dht,y,tx,us,namer,dalhart
dib,dibrugarh/in:chabua,dib,y,,in,asia,dibrugarh
dic,dili/cd,dic,y,,cd,afric,dili
die,antsiranana/mg:antsiranana,die,y,,mg,afric,antsiranana
dig,diqing/cn:diqing,dig,y,,cn,asia,diqing
dij,dijon/fr,dij,y,,fr,europ,dijon
dik,dickinson/nd/us,dik,y,nd,us,namer,dickinson
dil,dili/tl:comoro,dil,y,,tl,asia,dili
dim,dimbokro/ci,dim,y,,ci,afric,dimbokro
din,dien bien/vn:dien bien airport,din,y,,vn,seasi,dien bien phu
dio,diomede island/ak/us,dio,y,ak,us,namer,diomede island
dip,diapaga/bf,dip,y,,bf,afric,diapaga
diq,divinopolis/mg/br,diq,y,mg,br,samer,divinopolis
dir,dire dawa/et:aba tenna d yilma,dir,y,,et,afric,dire dawa
dis,loubomo/cg,dis,y,,cg,afric,loubomo
diu,diu/in,diu,y,,in,asia,diu
div,divo/ci,div,y,,ci,afric,divo
diw,dickwella/lk:mawella lagoon,diw,y,,lk,asia,dickwella
diy,diyarbakir/tr,diy,y,,tr,euras,diyarbakir
dja,djougou/bj,dja,y,,bj,afric,djougou
djb,jambi/id:sultan taha syarifudn,djb,y,,id,seasi,jambi
dje,djerba/tn:melita,dje,y,,tn,afric,djerba
djg,djanet/dz:inedbirenne,djg,y,,dz,afric,djanet
djj,jayapura/id:sentani,djj,y,,id,seasi,jayapura
djm,djambala/cg,djm,y,,cg,afric,djambala
djn,delta junction/ak/us,djn,y,ak,us,namer,delta junction
djo,daloa/ci,djo,y,,ci,afric,daloa
dju,djupivogur/is,dju,y,,is,europ,djupivogur
dki,dunk island/ql/au,dki,y,ql,au,austl,dunk island
dkk,dunkirk/ny/us,dkk,y,ny,us,namer,dunkirk
dkr,dakar/sn:yoff,dkr,y,,sn,afric,dakar
dks,dikson/ru,dks,y,,ru,euras,dikson
dkv,docker river/nt/au,dkv,y,nt,au,austl,docker river
dla,douala/cm,dla,y,,cm,afric,douala
dlb,dalbertis/pg,dlb,y,,pg,austl,dalbertis
dlc,dalian/cn,dlc,y,,cn,asia,dalian
dld,geilo/no:dagali airport,dld,y,,no,europ,geilo
dle,dole/fr:tavaux,dle,y,,fr,europ,dole
dlf,del rio/tx/us:laughlin afb,drt,y,tx,us,namer,del rio
dlg,dillingham/ak/us:municipal,dlg,y,ak,us,namer,dillingham
dlh,duluth/mn/us:duluth intl,dlh,y,mn,us,namer,duluth
dli,dalat/vn:lienkhang,dli,y,,vn,seasi,dalat
dlk,dulkaninna/sa/au,dlk,y,sa,au,austl,dulkaninna
dll,dillon/sc/us,dll,y,sc,us,namer,dillon
dlm,dalaman/tr,dlm,y,,tr,euras,dalaman
dln,dillon/mt/us,dln,y,mt,us,namer,dillon
dlo,dolomi/ak/us,dlo,y,ak,us,namer,dolomi
dls,the dalles/or/us,dls,y,or,us,namer,the dalles
dlu,dali/cn:dali,dlu,y,,cn,asia,dali
dlv,delissaville/nt/au,dlv,y,nt,au,austl,delissaville
dly,dillons bay/vu,dly,y,,vu,austl,dillons bay
dlz,dalanzadgad/mn,dlz,y,,mn,asia,dalanzadgad
dma,tucson/az/us:davis monthan afb,tus,y,az,us,namer,tucson
dmb,zhambyl/kz,dmb,y,,kz,euras,zhambyl
dmd,doomadgee/ql/au,dmd,y,ql,au,austl,doomadgee
dme,moscow/ru:domodedovo,mow,y,,ru,euras,moscow
dmm,dammam/sa:king fahad intl,dmm,y,,sa,meast,dammam
dmn,deming/nm/us,dmn,y,nm,us,namer,deming
dmo,sedalia/mo/us,dmo,y,mo,us,namer,sedalia
dmr,dhamar/ye,dmr,y,,ye,meast,dhamar
dmt,diamantino/mt/br,dmt,y,mt,br,samer,diamantino
dmu,dimapur/in,dmu,y,,in,asia,dimapur
dna,okinawa/jp:kadena afb,oka,y,,jp,asia,okinawa
dnb,dunbar/ql/au,dnb,y,ql,au,austl,dunbar
dnc,danane/ci,dnc,y,,ci,afric,danane
dnd,dundee/gb,dnd,y,,gb,europ,dundee
dne,dallas/tx/us:dallas north,dfw,y,tx,us,namer,dallas
dnf,derna/ly:martuba,dnf,y,,ly,afric,derna
dng,doogan/wa/au:doogan airport,dng,y,wa,au,austl,doogan
dnh,dunhuang/cn,dnh,y,,cn,asia,dunhuang
dni,wad medani/sd,dni,y,,sd,afric,wad medani
dnk,dnepropetrovsk/ua,dnk,y,,ua,euras,dnepropetrovsk
dnl,augusta daniel/ga/us:daniel,ags,y,ga,us,namer,augusta daniel
dnm,denham/wa/au,dnm,y,wa,au,austl,denham
dnn,dalton/ga/us:municipal,dnn,y,ga,us,namer,dalton
dno,dianopolis/to/br,dno,y,to,br,samer,dianopolis
dnp,dang/np,dnp,y,,np,asia,dang
dnq,deniliquin/ns/au,dnq,y,ns,au,austl,deniliquin
dnr,dinard/fr:pleurtuit,dnr,y,,fr,europ,dinard
dns,denison/ia/us:municipal,dns,y,ia,us,namer,denison
dnt,santa ana/ca/us:downtown hpt,sna,y,ca,us,namer,santa ana
dnu,dinangat/pg,dnu,y,,pg,austl,dinangat
dnv,danville/il/us:vermilion cnty,dnv,y,il,us,namer,danville
dnx,dinder/sd:galegu,dnx,y,,sd,afric,dinder
dnz,denizli/tr:cardak,dnz,y,,tr,euras,denizli
doa,doany/mg,doa,y,,mg,afric,doany
dob,dobo/id:airport,dob,y,,id,seasi,dobo
doc,dornoch/gb,doc,y,,gb,europ,dornoch
dod,dodoma/tz,dod,y,,tz,afric,dodoma
doe,djoemoe/sr,doe,y,,sr,samer,djoemoe
dof,dora bay/ak/us,dof,y,ak,us,namer,dora bay
dog,dongola/sd,dog,y,,sd,afric,dongola
doh,doha/qa,doh,y,,qa,meast,doha
doi,doini/pg,doi,y,,pg,austl,doini
dok,donetsk/ua,dok,y,,ua,euras,donetsk
dol,deauville/fr:st gatien,dol,y,,fr,europ,deauville
dom,dominica/dm:melville hall,dom,y,,dm,carib,dominica
don,dos lagunas/gt,don,y,,gt,camer,dos lagunas
doo,dorobisoro/pg,doo,y,,pg,austl,dorobisoro
dop,dolpa/np,dop,y,,np,asia,dolpa
dor,dori/bf,dor,y,,bf,afric,dori
dos,dios/pg,dos,y,,pg,austl,dios
dou,dourados/ms/br,dou,y,ms,br,samer,dourados
dov,dover cheswold/de/us:dover afb,dov,y,de,us,namer,dover cheswold
dox,dongara/wa/au,dox,y,wa,au,austl,dongara
doy,dongying/cn:dongying,doy,y,,cn,asia,dongying
dpa,chicago/il/us:dupage county,chi,y,il,us,namer,chicago
dpe,dieppe/fr,dpe,y,,fr,europ,dieppe
dpg,dugway/ut/us:michael aaf,dpg,y,ut,us,namer,dugway
dpk,deer park/ny/us,dpk,y,ny,us,namer,deer park
dpl,dipolog/ph,dpl,y,,ph,pacif,dipolog
dpo,devonport/ts/au,dpo,y,ts,au,austl,devonport
dps,denpasar bali/id:ngurah rai,dps,y,,id,seasi,denpasar bali
dpu,dumpu/pg,dpu,y,,pg,austl,dumpu
dra,mercury/nv/us:desert rock,dra,y,nv,us,namer,mercury
drb,derby/wa/au,drb,y,wa,au,austl,derby
drc,dirico/ao,drc,y,,ao,afric,dirico
drd,dorunda station/ql/au,drd,y,ql,au,austl,dorunda station
dre,drummond island/mi/us,dre,y,mi,us,namer,drummond island
drf,drift river/ak/us,drf,y,ak,us,namer,drift river
drg,deering/ak/us,drg,y,ak,us,namer,deering
drh,dabra/id,drh,y,,id,seasi,dabra
dri,de ridder/la/us:beauregard par,dri,y,la,us,namer,de ridder
drj,drietabbetje/sr,drj,y,,sr,samer,drietabbetje
drm,drama/gr,drm,y,,gr,europ,drama
drn,dirranbandi/ql/au,drn,y,ql,au,austl,dirranbandi
dro,durango/co/us:la plata,dro,y,co,us,namer,durango
drr,durrie/ql/au,drr,y,ql,au,austl,durrie
drs,dresden/de:dresden,drs,y,,de,europ,dresden
drt,del rio/tx/us:international,drt,y,tx,us,namer,del rio
dru,drummond/mt/us,dru,y,mt,us,namer,drummond
drw,darwin/nt/au,drw,y,nt,au,austl,darwin
dry,d/wa/au:drysdale river airport,dry,y,wa,au,austl,drysdale river
dsa,doncaster/gb:sheffield,dsa,y,,gb,europ,doncaster
dsc,dschang/cm,dsc,y,,cm,afric,dschang
dsd,la desirade/gp,dsd,y,,gp,carib,la desirade
dse,dessie/et:combolcha,dse,y,,et,afric,dessie
dsg,dilasag/ph,dsg,y,,ph,pacif,dilasag
dsi,destin/fl/us,dsi,y,fl,us,namer,destin
dsk,dera ismail khan/pk,dsk,y,,pk,asia,dera ismail khan
dsl,daru/sl,dsl,y,,sl,afric,daru
dsm,des moines/ia/us,dsm,y,ia,us,namer,des moines
dsn,dongsheng/cn,dsn,y,,cn,asia,dongsheng
dsv,dansville/ny/us,dsv,y,ny,us,namer,dansville
dta,delta/ut/us,dta,y,ut,us,namer,delta
dtd,datadawai/id,dtd,y,,id,seasi,datadawai
dte,daet/ph:camarines norte,dte,y,,ph,pacif,daet
dth,death valley/ca/us,dth,y,ca,us,namer,death valley
dtl,detroit lakes/mn/us:municipal,dtl,y,mn,us,namer,detroit lakes
dtm,dortmund/de,dtm,y,,de,europ,dortmund
dtn,shreveport/la/us:downtown,shv,y,la,us,namer,shreveport
dtr,decatur island/wa/us,dtr,y,wa,us,namer,decatur island
dtt,detroit/mi/us,dtt,n,mi,us,namer,detroit
dtw,detroit/mi/us:detroit metro,dtt,y,mi,us,namer,detroit
dua,durant/ok/us:eaker,dua,y,ok,us,namer,durant
dub,dublin/ie,dub,y,,ie,europ,dublin
duc,duncan/ok/us:halliburton,duc,y,ok,us,namer,duncan
dud,dunedin/nz,dud,y,,nz,austl,dunedin
due,dundo/ao,due,y,,ao,afric,dundo
duf,duke/nc/us:pine island airport,duf,y,nc,us,namer,duke
dug,douglas/az/us:bisbee douglas,dug,y,az,us,namer,douglas
dui,duisburg/de:duisburg rail,dui,y,,de,europ,duisburg
duj,dubois/pa/us:jefferson county,duj,y,pa,us,namer,dubois
duk,dukuduk/za,duk,y,,za,afric,dukuduk
dum,dumai/id:pinang kampai,dum,y,,id,seasi,dumai
dun,dundas/gl,dun,y,,gl,europ,dundas
duq,duncan quam/bc/ca,duq,y,bc,ca,namer,duncan quam
dur,durban/za:durban intl,dur,y,,za,afric,durban
dus,dusseldorf/de:dusseldorf,dus,y,,de,europ,dusseldorf
dut,dutch harbor/ak/us:emergency,dut,y,ak,us,namer,dutch harbor
dva,deva/ro,dva,y,,ro,eeuro,deva
dvk,diavik/nt/ca:diavik,dvk,y,nt,ca,namer,diavik
dvl,devils lake/nd/us,dvl,y,nd,us,namer,devils lake
dvn,davenport/ia/us,dvn,y,ia,us,namer,davenport
dvo,davao/ph:davao intl,dvo,y,,ph,pacif,davao
dvp,davenport downs/ql/au,dvp,y,ql,au,austl,davenport downs
dvr,daly river/nt/au,dvr,y,nt,au,austl,daly river
dvt,phoenix/az/us:deer valley,phx,y,az,us,namer,phoenix
dwa,dwangwa/mw,dwa,y,,mw,afric,dwangwa
dwb,soalala/mg,dwb,y,,mg,afric,soalala
dwd,dawadmi/sa:dawadmi,dwd,y,,sa,meast,dawadmi
dwf,dayton/oh/us:wright afb,day,y,oh,us,namer,dayton
dwh,houston/tx/us:d w hooks,hou,y,tx,us,namer,houston
dwn,oklahoma city/ok/us:downtown,okc,y,ok,us,namer,oklahoma city
dws,orlando/fl/us:disney world,orl,y,fl,us,namer,orlando
dxa,deux alpes/fr,dxa,y,,fr,europ,deux alpes
dxb,dubai/ae,dxb,y,,ae,meast,dubai
dxd,dixie/ql/au,dxd,y,ql,au,austl,dixie
dxr,danbury/ct/us,dxr,y,ct,us,namer,danbury
dya,dysart/ql/au,dya,y,ql,au,austl,dysart
dyg,dayong/cn,dyg,y,,cn,asia,dayong
dyl,doylestown/pa/us,dyl,y,pa,us,namer,doylestown
dym,diamantina lakes/ql/au,dym,y,ql,au,austl,diamantina lakes
dyr,anadyr/ru,dyr,y,,ru,euras,anadyr
dys,abilene/tx/us:dyess afb,abi,y,tx,us,namer,abilene
dyu,dushanbe/tj,dyu,y,,tj,euras,dushanbe
dyw,daly waters/nt/au,dyw,y,nt,au,austl,daly waters
dza,dzaoudzi/yt,dza,y,,yt,iocea,dzaoudzi
dzi,codazzi/co,dzi,y,,co,samer,codazzi
dzn,zhezkazgan/kz,dzn,y,,kz,euras,zhezkazgan
dzo,durazno/uy,dzo,y,,uy,samer,durazno
dzu,dazu/cn,dzu,y,,cn,asia,dazu
eaa,eagle/ak/us,eaa,y,ak,us,namer,eagle
eab,abbse/ye,eab,y,,ye,meast,abbse
eae,emae/vu,eae,y,,vu,austl,emae
eal,kwajelein at/mh:elenak airport,eal,y,,mh,pacif,kwajelein atoll
eam,nejran/sa,eam,y,,sa,meast,nejran
ean,wheatland/wy/us:phifer field,ean,y,wy,us,namer,wheatland
eap,basel mulhouse/fr,eap,n,,fr,europ,basel mulhouse
ear,kearney/ne/us,ear,y,ne,us,namer,kearney
eas,san sebastian/es,eas,y,,es,europ,san sebastian
eat,wenatchee/wa/us:pangborn field,eat,y,wa,us,namer,wenatchee
eau,eau claire/wi/us,eau,y,wi,us,namer,eau claire
eba,elba island/it:marina di campo,eba,y,,it,europ,elba island
ebb,entebbe/ug,ebb,y,,ug,afric,entebbe
ebd,el obeid/sd,ebd,y,,sd,afric,el obeid
ebg,el bagre/co,ebg,y,,co,samer,el bagre
ebj,esbjerg/dk,ebj,y,,dk,europ,esbjerg
ebl,erbil/iq:international,ebl,y,,iq,meast,erbil
ebm,el borma/tn,ebm,y,,tn,afric,el borma
ebn,ebadon/mh,ebn,y,,mh,pacif,ebadon
ebo,ebon/mh:ebon apt,ebo,y,,mh,pacif,ebon
ebr,baton rouge/la/us:downtown,btr,y,la,us,namer,baton rouge
ebs,webster city/ia/us:municipal,ebs,y,ia,us,namer,webster city
ebu,st etienne/fr:boutheon,ebu,y,,fr,europ,st etienne
ebw,ebolowa/cm,ebw,y,,cm,afric,ebolowa
eca,east tawas/mi/us:emmet county,eca,y,mi,us,namer,east tawas
ecg,elizabeth city/nc/us,ecg,y,nc,us,namer,elizabeth city
ech,echuca/vi/au,ech,y,vi,au,austl,echuca
ecn,ercan/cy,ecn,y,,cy,europ,ercan
eco,el encanto/co,eco,y,,co,samer,el encanto
ecr,el charco/co,ecr,y,,co,samer,el charco
ecs,newcastle/wy/us:mondell,ecs,y,wy,us,namer,newcastle
eda,edna bay/ak/us,eda,y,ak,us,namer,edna bay
edb,eldebba/sd,edb,y,,sd,afric,eldebba
edd,erldunda/nt/au,edd,y,nt,au,austl,erldunda
ely,ely/nv/us:yelland,ely,y,nv,us,namer,ely
elz,wellsville/ny/us:municipal,elz,y,ny,us,namer,wellsville
ema,nottingham/gb:east midlands,nqt,y,,gb,europ,nottingham
emb,san francisco/ca/us:embarkader,sfo,y,ca,us,namer,san francisco
emd,emerald/ql/au,emd,y,ql,au,austl,emerald
eme,emden/de,eme,y,,de,europ,emden
emg,empangeni/za,emg,y,,za,afric,empangeni
emi,emirau/pg,emi,y,,pg,austl,emirau
emk,emmonak/ak/us,emk,y,ak,us,namer,emmonak
eml,emmen/ch:emmen,eml,y,,ch,europ,emmen
emm,kemerer/wy/us,emm,y,wy,us,namer,kemerer
emn,nema/mr,emn,y,,mr,afric,nema
emo,emo/pg,emo,y,,pg,austl,emo
emp,emporia/ks/us,emp,y,ks,us,namer,emporia
ems,embessa/pg,ems,y,,pg,austl,embessa
emt,el monte/ca/us,emt,y,ca,us,namer,el monte
emx,el maiten/cb/ar,emx,y,cb,ar,samer,el maiten
emy,el minya/eg,emy,y,,eg,afric,el minya
ena,kenai/ak/us,ena,y,ak,us,namer,kenai
enb,eneabba west/wa/au,enb,y,wa,au,austl,eneabba west
enc,nancy/fr:essey,enc,y,,fr,europ,nancy
end,enid/ok/us:vance afb,wdg,y,ok,us,namer,enid
ene,ende/id,ene,y,,id,seasi,ende
enf,enontekio/fi,enf,y,,fi,europ,enontekio
enh,enshi/cn,enh,y,,cn,asia,enshi
eni,el nido/ph,eni,y,,ph,pacif,el nido
enj,el naranjo/gt,enj,y,,gt,camer,el naranjo
enk,enniskillen/gb:st angelo,enk,y,,gb,europ,enniskillen
enl,centralia/il/us:municipal,enl,y,il,us,namer,centralia
enn,nenana/ak/us:municipal,enn,y,ak,us,namer,nenana
eno,encarnacion/py:teniente,eno,y,,py,samer,encarnacion
enq,coronel e soto a/hn,enq,y,,hn,camer,coronel e soto a
ens,enschede/nl:twente,ens,y,,nl,europ,enschede
ent,enewetak island/mh:enewetak,ent,y,,mh,pacif,enewetak island
enu,enugu/ng,enu,y,,ng,afric,enugu
env,wendover/ut/us,env,y,ut,us,namer,wendover
enw,kenosha/wi/us:municipal,enw,y,wi,us,namer,kenosha
eny,yan'an/cn,eny,y,,cn,asia,yan'an
enz,mystery break/nz:mystery break,enz,y,,nz,austl,mystery break
eoh,medellin/co:olaya herrera,mde,y,,co,samer,medellin
eoi,eday/gb,eoi,y,,gb,europ,eday
eok,keokuk/ia/us,eok,y,ia,us,namer,keokuk
eor,el dorado/ve,eor,y,,ve,samer,el dorado
eos,neosho/mo/us,eos,y,mo,us,namer,neosho
eoz,elorza/ve,eoz,y,,ve,samer,elorza
epa,el palomar/ba/ar,epa,y,ba,ar,samer,el palomar
epg,weeping water/ne/us:browns,epg,y,ne,us,namer,weeping water
eph,ephrata/wa/us,eph,y,wa,us,namer,ephrata
epi,epi/vu,epi,y,,vu,austl,epi
epk,episkopi/cy,epk,y,,cy,europ,episkopi
epl,epinal/fr:mirecourt,epl,y,,fr,europ,epinal
epn,epena/cg,epn,y,,cg,afric,epena
epr,esperance/wa/au,epr,y,wa,au,austl,esperance
eps,el port/do:el portillo airport,eps,y,,do,carib,el portillo/samana
ept,eliptamin/pg,ept,y,,pg,austl,eliptamin
epu,parnu/ee:parnu,epu,y,,ee,eeuro,parnu
eqs,esquel/cb/ar,eqs,y,cb,ar,samer,esquel
era,erigavo/so,era,y,,so,afric,erigavo
erb,ernabella/sa/au,erb,y,sa,au,austl,ernabella
erc,erzincan/tr,erc,y,,tr,euras,erzincan
erd,berdyansk/ua,erd,y,,ua,euras,berdyansk
ere,erave/pg,ere,y,,pg,austl,erave
erf,erfurt/de:erfurt,erf,y,,de,europ,erfurt
erh,er rachidia/ma,erh,y,,ma,afric,er rachidia
eri,erie/pa/us:erie intl,eri,y,pa,us,namer,erie
erm,erechim/rs/br:comandante k,erm,y,rs,br,samer,erechim
ern,eirunepe/am/br,ern,y,am,br,samer,eirunepe
ero,eldred rock/ak/us:coast guard,ero,y,ak,us,namer,eldred rock
err,errol/nh/us,err,y,nh,us,namer,errol
ers,windhoek/na:eros,wdh,y,,na,afric,windhoek
ert,erdenet/mn,ert,y,,mn,asia,erdenet
eru,erume/pg,eru,y,,pg,austl,erume
erv,kerrville/tx/us,erv,y,tx,us,namer,kerrville
erz,erzurum/tr,erz,y,,tr,euras,erzurum
esa,esa'ala/pg,esa,y,,pg,austl,esa'ala
esb,ankara/tr:esenboga,ank,y,,tr,euras,ankara
esc,escanaba/mi/us:delta county,esc,y,mi,us,namer,escanaba
esd,eastsound/wa/us:orcas island,esd,y,wa,us,namer,eastsound
ese,ensenada/mx,ese,y,,mx,namer,ensenada
esf,esler field/la/us,aex,y,la,us,namer,esler field
esg,mariscal estigarr/py,esg,y,,py,samer,mariscal estigarr
esh,shoreham by sea/gb:shoreham,esh,y,,gb,europ,shoreham by sea
esi,espinosa/mg/br,esi,y,mg,br,samer,espinosa
esk,eskisehir/tr,esk,y,,tr,euras,eskisehir
esl,elista/ru,esl,y,,ru,euras,elista
esm,esmeraldas/ec,esm,y,,ec,samer,esmeraldas
esn,easton/md/us,esn,y,md,us,namer,easton
eso,espanola/nm/us,eso,y,nm,us,namer,espanola
esp,east stroudsburg/pa/us:birchw,esp,y,pa,us,namer,east stroudsburg
esr,el salvador/cl:salvador bajo,esr,y,,cl,samer,el salvador
ess,essen/de:essen,ess,y,,de,europ,essen
est,estherville/ia/us:municipal,est,y,ia,us,namer,estherville
esu,essaouira/ma:essaouira,esu,y,,ma,afric,essaouira
esw,easton/wa/us:state,esw,y,wa,us,namer,easton
etb,west bend/wi/us,etb,y,wi,us,namer,west bend
etd,etadunna/sa/au,etd,y,sa,au,austl,etadunna
ete,genda wuha/et,ete,y,,et,afric,genda wuha
eth,elat/il,eth,y,,il,meast,elat
etn,eastland/tx/us:municipal,etn,y,tx,us,namer,eastland
ets,enterprise/al/us:municipal,ets,y,al,us,namer,enterprise
etz,metz nancy/fr:lorraine,etz,y,,fr,europ,metz nancy
eua,eua/to:kaufana,eua,y,,to,austl,eua
euc,eucla/wa/au,euc,y,wa,au,austl,eucla
eue,eureka/nv/us,eue,y,nv,us,namer,eureka
euf,eufaula/al/us:weedon field,euf,y,al,us,namer,eufaula
eug,eugene/or/us,eug,y,or,us,namer,eugene
eum,neumuenster/de,eum,y,,de,europ,neumuenster
eun,laayoune/ma:hassan i,eun,y,,ma,afric,laayoune
euo,paratebueno/co,euo,y,,co,samer,paratebueno
euq,antique/ph:evelio javier,euq,y,,ph,pacif,antique
eux,st eustatius/an:f d roosevelt,eux,y,,an,carib,st eustatius
eva,evadale/tx/us:landing strip,eva,y,tx,us,namer,evadale
evd,eva downs/nt/au,evd,y,nt,au,austl,eva downs
eve,harstad-narvik/no:evenes apt,eve,y,,no,europ,harstad-narvik
evg,sveg/se,evg,y,,se,europ,sveg
evh,evans head/ns/au,evh,y,ns,au,austl,evans head
evm,eveleth/mn/us,evm,y,mn,us,namer,eveleth
evn,yerevan/am,evn,y,,am,euras,yerevan
evv,evansville/in/us:dress rgnl,evv,y,in,us,namer,evansville
evw,evanston/wy/us,evw,y,wy,us,namer,evanston
evx,evreux/fr,evx,y,,fr,europ,evreux
ewb,new bedford/ma/us,ewb,y,ma,us,namer,new bedford
ewd,wildman lake/ak/us,ewd,y,ak,us,namer,wildman lake
ewe,ewer/id,ewe,y,,id,seasi,ewer
ewi,enarotali/id,ewi,y,,id,seasi,enarotali
ewk,newton/ks/us:city county,ewk,y,ks,us,namer,newton
ewn,new bern/nc/us:craven county r,ewn,y,nc,us,namer,new bern
ewo,ewo/cg,ewo,y,,cg,afric,ewo
ewr,newark/nj/us:liberty intl,nyc,y,nj,us,namer,newark
ewy,newbury/gb:greenham raf,ewy,y,,gb,europ,newbury
exi,excursion inlet/ak/us:spb,exi,y,ak,us,namer,excursion inlet
exm,exmouth gulf/wa/au,exm,y,wa,au,austl,exmouth gulf
ext,exeter/gb,ext,y,,gb,europ,exeter
eyl,yelimane/ml,eyl,y,,ml,afric,yelimane
eyp,el yopal/co,eyp,y,,co,samer,el yopal
eyr,yerington/nv/us,eyr,y,nv,us,namer,yerington
eys,eliye springs/ke,eys,y,,ke,afric,eliye springs
eyw,key west/fl/us:key west intl,eyw,y,fl,us,namer,key west
eze,buenos aires/ba/ar:pistarini,bue,y,ba,ar,samer,buenos aires
ezs,elazig/tr,ezs,y,,tr,euras,elazig
faa,faranah/gn,faa,y,,gn,afric,faranah
fab,farnborough/gb,fab,y,,gb,europ,farnborough
fac,faaite/pf,fac,y,,pf,pacif,faaite
fae,faroe islands/fo:vagar,fae,y,,fo,europ,faroe islands
faf,fort eustis/va/us:felker aaf,faf,y,va,us,namer,fort eustis
fag,fagurholsmyri/is,fag,y,,is,europ,fagurholsmyri
fah,farah/af,fah,y,,af,meast,farah
fai,fairbanks/ak/us:fairbanks intl,fai,y,ak,us,namer,fairbanks
faj,fajardo/pr,faj,y,,pr,carib,fajardo
fak,false island/ak/us,fak,y,ak,us,namer,false island
fal,roma/tx/us:falcon state,fal,y,tx,us,namer,roma
fam,farmington/mo/us:regional,fam,y,mo,us,namer,farmington
fan,farsund/no:lista,fan,y,,no,europ,farsund
fao,faro/pt,fao,y,,pt,europ,faro
faq,freida river/pg,faq,y,,pg,austl,freida river
far,fargo/nd/us:hector field,far,y,nd,us,namer,fargo
fas,faskrudsfjordur/is,fas,y,,is,europ,faskrudsfjordur
fat,fresno/ca/us:yosemite intl,fat,y,ca,us,namer,fresno
fav,fakarava/pf,fav,y,,pf,pacif,fakarava
fay,fayetteville/nc/us:mnpl,fay,y,nc,us,namer,fayetteville
faz,fasa/ir:fasa airport,faz,y,,ir,meast,fasa
fbd,faizabad/af,fbd,y,,af,meast,faizabad
fbe,francisco beltrao/pr/br,fbe,y,pr,br,samer,francisco beltrao
fbg,fort bragg/nc/us:simmons aaf,fbg,y,nc,us,namer,fort bragg
fbk,fairbanks/ak/us:ft wainwright,fai,y,ak,us,namer,fairbanks
ede,edenton/nc/us:municipal,ede,y,nc,us,namer,edenton
edf,anchorage/ak/us:elmendorf afb,anc,y,ak,us,namer,anchorage
edg,edgewood/md/us:weide aaf,edg,y,md,us,namer,edgewood
edi,edinburgh/gb:edinburgh,edi,y,,gb,europ,edinburgh
edk,el dorado/ks/us,edk,y,ks,us,namer,el dorado
edl,eldoret/ke,edl,y,,ke,afric,eldoret
edm,la roche/fr:les ajoncs,edm,y,,fr,europ,la roche
edo,edremit korfez/tr,edo,y,,tr,euras,edremit korfez
edq,erandique/hn,edq,y,,hn,camer,erandique
edr,edward river/ql/au,edr,y,ql,au,austl,edward river*pompuraaw
edw,edwards afb/ca/us,edw,y,ca,us,namer,edwards afb
eed,needles/ca/us,eed,y,ca,us,namer,needles
eek,eek/ak/us,eek,y,ak,us,namer,eek
een,keene/nh/us:dillant hopkins,een,y,nh,us,namer,keene
efb,eight fathom bigh/ak/us,efb,y,ak,us,namer,eight fathom bigh
efd,houston/tx/us:ellington field,hou,y,tx,us,namer,houston
efg,efogi/pg,efg,y,,pg,austl,efogi
efk,newport/vt/us,efk,y,vt,us,namer,newport
efl,kefallinia/gr:argostolion,efl,y,,gr,europ,kefallinia
efo,east fork/ak/us,efo,y,ak,us,namer,east fork
efw,jefferson/ia/us:municipal,efw,y,ia,us,namer,jefferson
ega,engati/pg,ega,y,,pg,austl,engati
egc,bergerac/fr:roumanieres,egc,y,,fr,europ,bergerac
ege,vail eagle/co/us:eagle county,ege,y,co,us,namer,vail eagle
egi,valparaiso/fl/us:duke field,vps,y,fl,us,namer,valparaiso
egl,neghelli/et,egl,y,,et,afric,neghelli
egm,sege/sb,egm,y,,sb,austl,sege
egn,geneina/sd,egn,y,,sd,afric,geneina
ego,belgorod/ru,ego,y,,ru,euras,belgorod
egp,eagle pass/tx/us:maverick co,egp,y,tx,us,namer,eagle pass
egs,egilsstadir/is,egs,y,,is,europ,egilsstadir
egv,eagle river/wi/us,egv,y,wi,us,namer,eagle river
egx,egegik/ak/us,egx,y,ak,us,namer,egegik
ehd,pseudo city code/zz,ehd,y,,zz,none,pseudo city code
