code,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,city_name
luu,laura/ql/au,luu,y,ql,au,austl,laura
luv,langgur/id,luv,y,,id,seasi,langgur
luw,luwuk/id,luw,y,,id,seasi,luwuk
lux,luxembourg/lu:luxembourg,lux,y,,lu,europ,luxembourg
luy,lushoto/tz,luy,y,,tz,afric,lushoto
luz,lushan/cn,luz,y,,cn,asia,lushan
lva,laval/fr:entrammes,lva,y,,fr,europ,laval
lvb,livramento/rs/br:dos galpoes,lvb,y,rs,br,samer,livramento
lvd,lime village/ak/us,lvd,y,ak,us,namer,lime village
lvi,livingstone/zm,lvi,y,,zm,afric,livingstone
lvk,livermore/ca/us,lvk,y,ca,us,namer,livermore
lvl,lawrenceville/va/us,lvl,y,va,us,namer,lawrenceville
lvm,livingston/mt/us:mission fld,lvm,y,mt,us,namer,livingston
lvo,laverton/wa/au,lvo,y,wa,au,austl,laverton
lvp,lavan/ir,lvp,y,,ir,meast,lavan
lvs,las vegas/nm/us,lvs,y,nm,us,namer,las vegas
lwa,lwbak/ph,lwa,y,,ph,pacif,lwbak
lwb,lewisb/wv/us:greenbrier valley,lwb,y,wv,us,namer,lewisburg
lwc,lawrence/ks/us,lwc,y,ks,us,namer,lawrence
lwe,lewoleba/id,lwe,y,,id,seasi,lewoleba
lwh,lawn hill/ql/au,lwh,y,ql,au,austl,lawn hill
lwi,lowai/pg,lwi,y,,pg,austl,lowai
lwk,shetland is lwk/gb:lerwick,sdz,y,,gb,europ,shetland is lwk
lwl,wells/nv/us:harriet field,lwl,y,nv,us,namer,wells
lwm,lawrence/ma/us,lwm,y,ma,us,namer,lawrence
lwn,gyoumri/am,lwn,y,,am,euras,gyoumri
lwo,lviv/ua:snilow,lwo,y,,ua,euras,lviv
lwr,leeuwarden/nl,lwr,y,,nl,europ,leeuwarden
lws,lewiston/id/us:nez perce cnt,lws,y,id,us,namer,lewiston
lwt,lewistown/mt/us:municipal,lwt,y,mt,us,namer,lewistown
lwv,lawrenceville/il/us:municipal,lwv,y,il,us,namer,lawrenceville
lwy,lawas/my,lwy,y,,my,seasi,lawas
lxa,lhasa/cn,lxa,y,,cn,asia,lhasa
lxg,luang namtha/la,lxg,y,,la,seasi,luang namtha
lxi,linxi/cn,lxi,y,,cn,asia,linxi
lxn,lexington/ne/us,lxn,y,ne,us,namer,lexington
lxr,luxor/eg,lxr,y,,eg,afric,luxor
lxs,limnos/gr,lxs,y,,gr,europ,limnos
lxu,lukulu/zm,lxu,y,,zm,afric,lukulu
lxv,leadville/co/us,lxv,y,co,us,namer,leadville
lya,luoyang/cn,lya,y,,cn,asia,luoyang
lyb,little cayman/ky,lyb,y,,ky,carib,little cayman
lyc,lycksele/se,lyc,y,,se,europ,lycksele
lye,lyneham/gb:raf station,lye,y,,gb,europ,lyneham
lyg,lianyungang/cn,lyg,y,,cn,asia,lianyungang
lyh,lynchburg/va/us:preston glenn,lyh,y,va,us,namer,lynchburg
lyi,linyi/cn,lyi,y,,cn,asia,linyi
lyk,lunyuk/id,lyk,y,,id,seasi,lunyuk
lyn,lyon bron/fr:bron,lys,y,,fr,europ,lyon bron
lyo,lyons/ks/us:rice county mncpl,lyo,y,ks,us,namer,lyons
lyp,faisalabad/pk,lyp,y,,pk,asia,faisalabad
lyr,longyearbyen/no:svalbard,lyr,y,,no,europ,longyearbyen
lys,lyon/fr:saint exupery,lys,y,,fr,europ,lyon
lyt,lady elliot islan/ql/au,lyt,y,ql,au,austl,lady elliot islan
lyu,ely/mn/us,lyu,y,mn,us,namer,ely
lyx,lydd/gb:london ashford,lyx,y,,gb,europ,lydd
lza,luiza/cd,lza,y,,cd,afric,luiza
lzc,lazaro cardenas/mx,lzc,y,,mx,namer,lazaro cardenas
lzd,lanzhou/cn:lanzhoudong,lhw,y,,cn,asia,lanzhou
lzh,liuzhou/cn,lzh,y,,cn,asia,liuzhou
lzi,luozi/cd,lzi,y,,cd,afric,luozi
lzm,luzamba/ao,lzm,y,,ao,afric,luzamba
lzn,nangan/cn,lzn,y,,cn,asia,nangan
