AIRPORT_CODE,TERMINAL_CODE,TERMINAL_NAME
LHR,4,Terminal 4
LHR,TN,Central Train Station (Terminal 1/2/3)
LYS,1,Terminal 1
LYS,2,Terminal 2
LYS,TN,Train Station
MAA,D,Domestic Terminal
MAA,I,International Terminal
MAD,1,T1
MAD,2,T2
MAD,3,T3
MAN,1,Terminal 1
MAN,2,Terminal 2
MAN,3,Terminal 3
MAN,TN,Train Station
MBA,1,Terminal 1 (Domestic & International)
MBA,2,Terminal 2 (Temporarily Not In Use)
MCI,A,Terminal Building A
MCI,B,Terminal Building B
MCI,C,Terminal Building C
MNL,C2,Terminal 2 (Centennial)
MNL,D1,Domestic Terminal 1
MNL,D2,Domestic Terminal 2
MNL,I1,International Terminal 1
MRS,1,Terminal 1 (International)
MRS,3,Terminal 3 (Domestic)
MRS,4,Terminal 4 (Domestic)
MSP,H,Hubert H. Humphrey Terminal
MSP,L,Lindbergh Terminal
MXP,1,Terminal 1
MXP,2,Terminal 2
NCE,1,Aerogare 1
NCE,2,Aerogare 2
NRT,1,Terminal 1
NRT,2,Terminal 2
OAK,1,Terminal 1
OAK,2,Terminal 2 (Lionel J. Wilson)
ONT,2,Terminal 2
ONT,4,Terminal 4
ORD,1,Terminal 1
ORD,2,Terminal 2
ORD,3,Terminal 3
ORD,5,International Terminal 5
ORD,BS,Terminal 4 (Bus Station)
ORY,S,Orly-Sud
ORY,W,Orly-Ouest
PER,Z,Flight Centre Terminal
PHL,A,Terminal A
PHL,B,Terminal B
PHL,C,Terminal C
PHL,D,Terminal D
PHL,E,Terminal E
PHL,F,Terminal F
PHX,2,Terminal 2
PHX,3,Terminal 3
PHX,4,Terminal 4
RDU,A,Terminal A
RDU,C,Terminal C
RUH,1,Terminal 1
RUH,2,Terminal 2
RUH,3,Terminal 3
SAN,1,Terminal 1
SAN,2,Terminal 2
SAN,R,Commuter Terminal
SAT,1,Terminal 1
SAT,2,Terminal 2
SCL,D,Domestic Terminal
SCL,I,International Terminal
SDA,A,Terminal A
SDA,B,Terminal B
SFO,1,Terminal 1
SFO,2,Terminal 2
SFO,3,Terminal 3
SFO,I,International Terminal
SIN,1,Terminal 1
SIN,2,Terminal 2
SJC,A,Terminal A
SJC,C,Terminal C
SJU,B,Terminal B
SJU,C,Terminal C
SJU,D,Terminal D
SLC,1,Terminal Unit 1
SLC,2,Terminal Unit 2
SMF,A,Terminal A
KRK,D,Domestic Terminal
KRK,I,International Terminal
CUN,1,Terminal 1
CUN,2,Terminal 2
CUN,3,Terminal 3
KUL,L,Low Cost Carrier Terminal
KUL,M,Main Terminal
LHR,5,Terminal 5
PVG,1,Terminal 1
PVG,2,Terminal 2
SVO,C,Terminal C (International)
WAW,I,International Terminal
WAW,L,Etiuda Terminal
MEX,1,Terminal 1
MEX,2,Terminal 2
PER,NC,National Jet Systems Terminal
PRG,1,Terminal 1
PRG,2,Terminal 2
PRG,3,Terminal 3
ADL,1,Main Terminal (Domestic and International)
LOS,D,Domestic Terminal
LOS,I,International Terminal
MAD,4,T4
MAD,4S,T4S
PEK,1,Terminal 1
PEK,2,Terminal 2
SOF,1,Terminal 1
SOF,2,Terminal 2
VKO,3A,General Aviation Terminal 3A
VKO,3B,General Aviation Terminal 3B
VKO,B,Terminal B (International)
VKO,D,Terminal D (Domestic)
VKO,K,Kosmos (General Aviation)
BEG,1,Terminal 1
BEG,2,Terminal 2
CMN,1,Terminal 1
CMN,2,Terminal 2
CMN,3,Terminal 3
PEK,3,Terminal 3
LIS,1,Terminal 1
HKG,1,Terminal 1
HKG,2,Terminal 2
LIS,2,Terminal 2
MEL,4,Terminal 4
MNL,3,Terminal 3
SSH,1,Terminal 1
SSH,2,Terminal 2
ADB,D,Domestic Terminal
ADB,I,International Terminal
AUH,1,Terminal 1
AUH,2,Terminal 2
SIN,3,Terminal 3
SIN,L,Budget Terminal
