CODE,TICKETING_NAME,TELETICKETING_NAME,EXTENDED_NAME,REL_CITY_CODE,IS_AIRPORT,STATE_CODE,REL_COUNTRY_CODE,REL_REGION_CODE,REL_CONTINENT_CODE,REL_TIME_ZONE_GRP,LONGITUDE,LATITUDE,NUMERIC_CODE,IS_COMMERCIAL,CITY_NAME
ZJF,JEBEL ALI,JEBEL ALI,JEBEL A/AE:JEBEL ALI FREE ZONE,ZJF,N,,AE,MEAST,ITC2,AE,,,,N,JEBEL ALI FREE ZONE
ZJG,JENPEG,JENPEG,JENPEG/MB/CA,ZJG,Y,MB,CA,NAMER,ITC1,CA027,-97.67,54.6,5836,N,JENPEG
ZJH,AARHUS RAIL,AARHUS RAIL,AARHUS/DK:RAILWAY STATION,AAR,Y,,DK,EUROP,ITC2,DK041,12.65,55.62,,N,AARHUS
ZJI,LOCARNO,LOCARNO,LOCARNO/CH:LOCARNO,ZJI,Y,,CH,EUROP,ITC2,CH032,8.8,46.17,,N,LOCARNO
ZJJ,PROCIDA,PROCIDA,PROCIDA/IT:HARBOUR,ZJJ,Y,,IT,EUROP,ITC2,IT067,14.03,40.77,,N,PROCIDA
ZJK,CHEK LAP KOK,CHEK LAP KOK,CHEK LAP KOK/HK:CHEK LAP KOK,ZJK,N,,HK,SEASI,ITC3,HK,,,,N,CHEK LAP KOK
ZJL,LYSS,LYSS,LYSS/CH:OFF-,ZJL,N,,CH,EUROP,ITC2,CH032,,,,N,LYSS
ZJM,MARTIGNY,MARTIGNY,MARTIGNY/CH:OFF-,ZJM,N,,CH,EUROP,ITC2,CH032,,,,N,MARTIGNY
ZJN,SWAN RIVER,SWAN RIVER,SWAN RIVER/MB/CA,ZJN,Y,MB,CA,NAMER,ITC1,CA027,-101.3,52.1,,N,SWAN RIVER
ZJO,SAN JOSE,SAN JOSE,SAN JOSE/CA/US:BUS STATION,SJC,Y,CA,US,NAMER,ITC1,US110,-121.9,37.35,,N,SAN JOSE
ZJP,MONTREUX,MONTREUX,MONTREUX/CH:MONTREUX,ZJP,Y,,CH,EUROP,ITC2,CH032,6.912,46.43,,N,MONTREUX
ZJQ,MORGES,MORGES,MORGES/CH:OFF-,ZJQ,N,,CH,EUROP,ITC2,CH032,6.5,46.52,,N,MORGES
ZJR,PENANG PORT,PENANG PORT,PENANG/MY:PENANG PORT,PEN,Y,,MY,SEASI,ITC3,MY,100.3,5.385,,N,PENANG
ZJS,JENA,JENA,JENA/DE:RAILWAY STATION,ZJS,Y,,DE,EUROP,ITC2,DE040,8.567,50.03,,N,JENA
ZJT,TANJUNG PELEPAS P,TANJUNG PELEPAS,TANJUNG PELEPAS/MY,ZJT,Y,,MY,SEASI,ITC3,MY,103.5,1.367,,N,TANJUNG PELEPAS
ZJU,OLTEN,OLTEN,OLTEN/CH:OFF-,ZJU,N,,CH,EUROP,ITC2,CH032,,,,N,OLTEN
ZJV,PONTRESINA,PONTRESINA,PONTRESINA/CH:OFF-,ZJV,N,,CH,EUROP,ITC2,CH032,,,,N,PONTRESINA
ZJW,RAPPERSWIL,RAPPERSWIL,RAPPERSWIL/CH:OFF-,ZJW,N,,CH,EUROP,ITC2,CH032,,,,N,RAPPERSWIL
ZJX,STROMBOLI,STROMBOLI,STROMBOLI/IT:HARBOUR,ZJX,Y,,IT,EUROP,ITC2,IT067,15.24,38.81,,N,STROMBOLI
ZJY,PONZA,PONZA,PONZA/IT:HARBOUR,ZJY,Y,,IT,EUROP,ITC2,IT067,12.96,40.9,,N,PONZA
ZJZ,RORSCHACH,RORSCHACH,RORSCHACH/CH:OFF-,ZJZ,N,,CH,EUROP,ITC2,CH032,,,,N,RORSCHACH
ZKA,SARGANS,SARGANS,SARGANS/CH:OFF-,ZKA,N,,CH,EUROP,ITC2,CH032,,,,N,SARGANS
ZKB,KASABA BAY,KASABA BAY,KASABA BAY/ZM,ZKB,Y,,ZM,AFRIC,ITC2,ZM,30.67,-8.517,5837,N,KASABA BAY
ZKC,SARNEN,SARNEN,SARNEN/CH:OFF-,ZKC,N,,CH,EUROP,ITC2,CH032,,,,N,SARNEN
