"id" "airport" "pg"
"2187" "PAR" 0.00336216310945533
"1668" "LON" 0.00302600952919881
"907" "FRA" 0.00281837250909987
"2085" "NYC" 0.00268736917160664
"1893" "MOW" 0.00266150501311987
"1574" "LAX" 0.00254241410711356
"320" "BKK" 0.00239711886847287
"122" "AMS" 0.00239642739967385
"1943" "MUC" 0.00238848213524727
"601" "CPH" 0.00232806277224379
"764" "DUS" 0.00229820129184844
"769" "DXB" 0.00228534442804655
"1822" "MIL" 0.00227373761053836
"1746" "MAD" 0.00224353449156786
"3362" "YTO" 0.00223084528747149
"3106" "WAS" 0.00222147338798528
"314" "BJS" 0.00220238840939788
"524" "CHI" 0.00220214079755297
"2467" "ROM" 0.00219177045444711
"2701" "STO" 0.0021825440886386
"2564" "SFO" 0.00217938523048911
"257" "BER" 0.0021744557117141
"2158" "OSL" 0.00216709738681069
"391" "BRU" 0.00216389166611245
"2595" "SIN" 0.00215221758280562
"240" "BCN" 0.00211661855149483
"1057" "HAM" 0.00210044754717588
"3461" "ZRH" 0.00208059757255235
"3057" "VIE" 0.00207447220643099
"692" "DEL" 0.00205487343808344
"363" "BOM" 0.00204996482862866
"3293" "YMQ" 0.00204067413997888
"1038" "GVA" 0.00202123377240851
"693" "DEN" 0.00200062506094311
"2951" "TYO" 0.00198878440695539
"1105" "HKG" 0.00198690478168494
"2553" "SEA" 0.00198665945705451
"2575" "SHA" 0.00197951422191669
"1571" "LAS" 0.00196970295522375
"1753" "MAN" 0.00194399284605512
"1878" "MNL" 0.00192443889480126
"366" "BOS" 0.00192231922725546
"3380" "YVR" 0.00190940261103163
"1256" "IST" 0.0019041160544797
"2514" "SAO" 0.00187797655241214
"1818" "MIA" 0.00187508236397294
"2702" "STR" 0.00183063743460329
"1136" "HOU" 0.00182130836407853
"2008" "NCE" 0.00181811093534262
"695" "DFW" 0.00179785130653224
"1055" "HAJ" 0.00179611841476101
"2150" "ORL" 0.0017951520193555
"2322" "PRG" 0.00179007221641548
"3035" "VCE" 0.00178779736995623
"1737" "LYS" 0.00178307089961942
"2555" "SEL" 0.00178071379318909
"2513" "SAN" 0.00176888194181576
"760" "DUB" 0.00174727484109718
"176" "ATL" 0.00174348463706459
"1009" "GOT" 0.00172590737360066
"2242" "PHX" 0.00171904325484394
"1631" "LIS" 0.0017147238815046
"174" "ATH" 0.00171360159925401
"2741" "SYD" 0.00169330449257843
"1077" "HEL" 0.00167208277063002
"2853" "TLS" 0.00166561113922119
"2238" "PHL" 0.00166367079401973
"566" "CLT" 0.0016364489385875
"460" "CAI" 0.00162458482014816
"1914" "MRS" 0.00162063825296155
"3108" "WAW" 0.00161510357004584
"2210" "PDX" 0.00160791019575104
"3384" "YWG" 0.00158011145496739
"2888" "TPA" 0.00157954019441864
"415" "BUD" 0.00157094382321634
"759" "DTT" 0.00156929637183402
"2154" "OSA" 0.00156906988952017
"1926" "MSP" 0.00156063968401718
"186" "AUH" 0.001555194925655
"416" "BUE" 0.00154875292423428
"2074" "NUE" 0.00154592712781593
"2339" "PTY" 0.00153589813960851
"792" "EDI" 0.0015303453134202
"2855" "TLV" 0.00152825126191512
"1603" "LED" 0.00151888834424073
"2889" "TPE" 0.00149936763826524
"2699" "STL" 0.00147500133179556
"436" "BWI" 0.00146119614810777
"345" "BNA" 0.00146017410059921
"3404" "YYC" 0.00145847505108541
"2411" "RDU" 0.00145647176914933
"1191" "IEV" 0.00145311063658447
"382" "BRE" 0.00145258319091742
"1526" "KUL" 0.00145082421524078
"985" "GLA" 0.00145035170196884
"333" "BLQ" 0.00144552248596536
"1793" "MEL" 0.00144172368670335
"560" "CLE" 0.00143442066954341
"778" "EAP" 0.00142854397917652
"1333" "JNB" 0.00142752704438601
"2217" "PER" 0.00142547473067462
"2815" "THR" 0.00142503628835999
"418" "BUH" 0.00141847727455559
"294" "BHX" 0.00141346043916774
"1837" "MKC" 0.00141254785267292
"2624" "SLC" 0.00141057539255118
"348" "BNE" 0.00140369099907636
"2249" "PIT" 0.00139952095532273
"1797" "MEX" 0.00139060487718219
"463" "CAN" 0.00138682712189226
"190" "AUS" 0.0013785617648429
"736" "DOH" 0.00137726905987781
"863" "FAI" 0.00137625845051972
"1221" "IND" 0.00137295359046763
"2005" "NBO" 0.00136414697489034
"572" "CMH" 0.00136252461617667
"1932" "MSY" 0.00135741647657894
"358" "BOG" 0.00135444806614193
"639" "CVG" 0.00134760421392382
"1122" "HNL" 0.00134602991621982
"1629" "LIM" 0.00134176194129338
"2509" "SAC" 0.00133951869403708
"27" "ABZ" 0.00133867533326397
"1327" "JKT" 0.00133335568357344
"2437" "RIO" 0.00133199714453149
"334" "BLR" 0.00131796511765907
"751" "DRS" 0.00130643257717168
"2517" "SAT" 0.00130595566612839
"884" "FLL" 0.00130529100928097
"1838" "MKE" 0.00130184982295939
"2720" "SVG" 0.00129923910237665
"514" "CGN" 0.00128898068609174
"1302" "JED" 0.00128266234344042
"2571" "SGN" 0.00127879004362944
"302" "BIO" 0.00127796312508852
"94" "AKL" 0.00127594681821463
"2647" "SNA" 0.00127012035720859
"1794" "MEM" 0.00126868576811078
"2529" "SCL" 0.00126740183243663
"2435" "RIC" 0.00124760357730796
"217" "BAH" 0.00124726138868875
"3232" "YEA" 0.00124624946276146
"2146" "ORF" 0.00124493490365744
"2461" "RNO" 0.00124452992895918
"2116" "OKC" 0.00124140809192169
"1744" "MAA" 0.00123649839335884
"1292" "JAX" 0.00123392463224031
"2953" "TYS" 0.00123128444516235
"3314" "YOW" 0.00122782947219282
