Export data from the tables of Geonames:
alternateName	alternateName	geonameid	name	latitude	longitude	country	fcode	population	timezone	alternatenames
LCA	LCLK	414646	Larnaca International Airport	34.8751200	33.6248500	CY	AIRP	0	Asia/Nicosia	Aerodrom Larnaka,Aeroport international de Larnaca,Aeroporto di Larnaca,Aeropuerto Internacional de Larnaca,Aeropuerto Internacional de Lárnaca,Aéroport international de Larnaca,Bandar Udara Internasional Larnaca,Deithnis Aerolimin Larnakos,Deithnís Aerolimín Lárnakos,Diethnis Aerolimenas Larnakas,Flughafen Larnaka,LCA,LCLK,Lapangan Terbang Antarabangsa Larnaca,Larnaca,Larnaca International Airport,Larnaca rahvusvaheline lennujaam,Larnaka,Larnaka International Airport,Larnaka Uluslararasi Havalimani,Larnaka Uluslararası Havalimanı,Larnaka internasjonale lufthavn,Larnakan kansainvaelinen lentoasema,Larnakan kansainvälinen lentoasema,Luchthaven Larnaca,Port lotniczy Larnaka,San bay quoc te Larnaca,Sân bay quốc tế Larnaca,Uluslararasi Larnaka Havaalani,Uluslararası Larnaka Havaalanı,la na ka guo ji ji chang,mtar larnka aldwly,rarunaka guo ji kong gang,Διεθνής Αερολιμένας Λάρνακας,Аеродром Ларнака,Ларнака,فرودگاه بین‌المللی لارناکا,مطار لارنكا الدولي,ラルナカ国際空港,拉纳卡国际机场
BJM	HBBA	425294	Aéroport de Bujumbura Gakumbu	-3.3240200	29.3185200	BI	AIRP	0	Africa/Bujumbura	Aeroport Gakumbu Bujumbura,Aéroport Gakumbu Bujumbura,BJM,Bujumbura,HBBA
RIX	EVRA	456168	Riga International Airport	56.9236100	23.9711100	LV	AIRP	0	Europe/Riga	EVRA,RIX,Riga International Airport,Rigas starptautiska lidosta,Rīgas starptautiskā lidosta,Starptautiska lidosta Riga,Starptautiskā lidosta Rīga
LPX	EVLA	457953	Liepaja East	56.5175000	21.0969400	LV	AIRP	0	Europe/Riga	EVLA,LPX
SVO	UUEE	494811	Sheremetyevo International Airport	55.9719400	37.4138900	RU	AIRP	0	Europe/Moscow	Aehroport Sheremet'evo,Aeroport Sheremet'yevo,Aeroport Sheremet’yevo,Moscow-Sheremetyevo,SVO,Sheremet'evo,Sheremetyevo International Airport,UUEE,airport Moskau-Scheremetjewo,Аэропорт Шереметьево,Шереметьево
TAY	EETU	588331	Tartu lennujaam	58.3074600	26.6904300	EE	AIRP	0	Europe/Tallinn	EETU,TAY
TLL	EETN	588404	Tallinn Airport	59.4165100	24.7994000	EE	AIRP	0	Europe/Tallinn	EETN,Lennart Meri International Airport,Lennart Meri Rahvusvaheline Lennujaam,Lennart Meri Tallinn Airport,Lennart Meri Tallinna lennujaam,Mezhdunarodnyj aehroport imeni Lennarta Meri,TLL,Tallinn Airport,Tallinn airfield,Tallinna lennujaam,Tallinna lennuvaeli,Tallinna lennuväli,Tallinskij aehroport,UElemiste Airport,UElemiste lennujaam,Ülemiste Airport,Ülemiste lennujaam,Международный аэропорт имени Леннарта Мери,Таллинский аэропорт
EPU	EEPU	589581	Pärnu Airport	58.4190400	24.4728200	EE	AIRP	0	Europe/Tallinn	EEPU,EPU,Paernu,Paernu Airport,Pärnu,Pärnu Airport
SQQ	EYSA	594742	Siauliai	55.8938900	23.3949800	LT	AIRP	0	Europe/Vilnius	EYSA,SQQ
PNV	EYPP	596129	Panevezys	55.7333300	24.4666700	LT	AIRP	0	Europe/Vilnius	EYPP,PNV,Pajuostis,Panevezys,Tulpe
