code,ticketing_name,teleticketing_name,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,rel_continent_code,rel_time_zone_grp,longitude,latitude,numeric_code,is_commercial,city_name,
bkd,breckenridge,breckenridge,breckenridge/tx/us:stephens c,bkd,y,tx,us,namer,itc1,us107,-98.9,32.75,,n,breckenridge,
bke,baker,baker,baker/or/us,bke,y,or,us,namer,itc1,us110,-117.8,44.83,539,n,baker,
bkf,brooks lake,brooks lake,brooks lake/ak/us,bkf,y,ak,us,namer,itc1,us111,-156.2,58.6,,n,brooks lake,
bkh,kekaha,kekaha,kekaha/hi/us:barking sands,bkh,y,hi,us,namer,itc1,us113,-159.7,21.97,,n,kekaha,
bki,kota kinabalu,kota kinabalu,kota kinabalu/my,bki,y,,my,seasi,itc3,my,116.1,5.933,540,y,kota kinabalu,
bkj,boke,boke,boke/gn,bkj,y,,gn,afric,itc2,gn,-14.28,10.97,541,n,boke,
bkk,bkk suvarnabhumi,bkk suvarnabhum,bangkok/th:suvarnabhumi intl,bkk,y,,th,seasi,itc3,th,100.6,13.91,,y,bangkok,
bkl,cleveland,cleveland,cleveland/oh/us:burke lakefron,cle,y,oh,us,namer,itc1,us105,-81.68,41.5,543,n,cleveland,
bkm,bakalalan,bakalalan,bakalalan/my,bkm,y,,my,seasi,itc3,my,115.6,3.967,544,y,bakalalan,
bkn,birni nkoni,birni nkoni,birni nkoni/ne,bkn,y,,ne,afric,itc2,ne,5.233,13.8,545,n,birni nkoni,
bko,bamako,bamako,bamako/ml,bko,y,,ml,afric,itc2,ml,-8.017,12.63,546,y,bamako,
bkp,barkly downs,barkly downs,barkly downs/ql/au,bkp,y,ql,au,austl,itc3,au131,138.3,-21.03,547,n,barkly downs,
bkq,blackall,blackall,blackall/ql/au,bkq,y,ql,au,austl,itc3,au131,145.4,-24.42,548,y,blackall,
bkr,bokoro,bokoro,bokoro/td,bkr,y,,td,afric,itc2,td,17.25,12.83,549,n,bokoro,
bks,bengkulu,bengkulu,bengkulu/id:padangkemiling,bks,y,,id,seasi,itc3,id061,102.3,-3.767,550,y,bengkulu,
bkt,blackstone,blackstone,blackstone/va/us:blackstone aa,bkt,y,va,us,namer,itc1,us105,-77.96,37.07,551,n,blackstone,
bku,betioky,betioky,betioky/mg,bku,y,,mg,afric,itc2,mg,44.38,-23.73,552,n,betioky,
bkw,beckley,beckley,beckley/wv/us,bkw,y,wv,us,namer,itc1,us105,-81.12,37.78,553,y,beckley,
bkx,brookings,brookings,brookings/sd/us,bkx,y,sd,us,namer,itc1,us107,-96.82,44.3,554,n,brookings,
bky,bukavu,bukavu,bukavu/cd:kamenbe,bky,y,,cd,afric,itc2,cd167,28.83,-2.45,,y,bukavu,
bkz,bukoba,bukoba,bukoba/tz,bkz,y,,tz,afric,itc2,tz,31.8,-1.3,556,y,bukoba,
bla,barcelona,barcelona,barcelona/ve:gen ja anzoategui,bla,y,,ve,samer,itc1,ve,-64.68,10.12,557,y,barcelona,
blb,balboa,balboa,balboa/pa,blb,y,,pa,camer,itc1,pa,-79.57,8.95,,n,balboa,
blc,bali,bali,bali/cm,blc,y,,cm,afric,itc2,cm,10,5.9,558,n,bali,
bld,boulder city,boulder city,boulder city/nv/us,bld,y,nv,us,namer,itc1,us110,-114.8,35.98,,y,boulder city,
ble,borlange/falun,borlange/falun,borlange/falun/se:dala airport,ble,y,,se,europ,itc2,se095,15.5,60.37,559,y,borlange/falun,
blf,bluefield princtn,bluefield princ,bluefield/wv/us:mercer county,blf,y,wv,us,namer,itc1,us105,-81.2,37.3,560,y,bluefield,
blg,belaga,belaga,belaga/my,blg,y,,my,seasi,itc3,my,113.8,2.65,561,n,belaga,
blh,blythe,blythe,blythe/ca/us,blh,y,ca,us,namer,itc1,us110,-114.7,33.62,562,n,blythe,
bli,bellingham,bellingham,bellingham/wa/us,bli,y,wa,us,namer,itc1,us110,-122.5,48.8,563,y,bellingham,
