code,ticketing_name,teleticketing_name,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,rel_continent_code,rel_time_zone_grp,longitude,latitude,numeric_code,is_commercial,city_name,
dgo,durango,durango,durango/mx:guadalupe victoria,dgo,y,,mx,namer,itc1,mx168,-104.7,24,1206,y,durango,
dgp,daugavpils,daugavpils,daugavpils/lv,dgp,y,,lv,eeuro,itc2,lv126,29.68,55.93,,n,daugavpils,
dgr,dargaville,dargaville,dargaville/nz,dgr,y,,nz,austl,itc3,nz084,173.9,-35.93,,n,dargaville,
dgt,dumaguete,dumaguete,dumaguete/ph,dgt,y,,ph,pacif,itc3,ph,123.3,9.3,1207,y,dumaguete,
dgu,dedougou,dedougou,dedougou/bf,dgu,y,,bf,afric,itc2,bf,-3.483,12.47,1208,n,dedougou,
dgw,douglas,douglas,douglas/wy/us:converse county,dgw,y,wy,us,namer,itc1,us108,-105.4,42.75,1209,n,douglas,
dha,dhahran,dhahran,dhahran/sa,dha,y,,sa,meast,itc2,sa,50.17,26.27,,n,dhahran,
dhd,durham downs,durham downs,durham downs/ql/au,dhd,y,ql,au,austl,itc3,au131,141.9,-27.07,1211,n,durham downs,
dhf,abu dhabi al dhaf,abu dhabi al dh,abu dhabi/ae:al dhafra milit,auh,y,,ae,meast,itc2,ae,54.37,24.47,,n,abu dhabi,
dhi,dhangarhi,dhangarhi,dhangarhi/np,dhi,y,,np,asia,itc3,np,80.67,28.25,1212,n,dhangarhi,
dhl,dhala,dhala,dhala/ye,dhl,y,,ye,meast,itc2,ye,44.72,13.73,1213,n,dhala,
dhm,dharamsala,dharamsala,dharamsala/in:gaggal airport,dhm,y,,in,asia,itc3,in,78.47,17.38,,y,dharamsala,
dhn,dothan,dothan,dothan/al/us:regional apt,dhn,y,al,us,namer,itc1,us107,-85.45,31.32,1214,y,dothan,
dhr,den helder,den helder,den helder/nl:de kooy,dhr,y,,nl,europ,itc2,nl082,4.767,52.92,,n,den helder,
dht,dalhart,dalhart,dalhart/tx/us,dht,y,tx,us,namer,itc1,us107,102.5,36.07,,n,dalhart,
dib,dibrugarh,dibrugarh,dibrugarh/in:chabua,dib,y,,in,asia,itc3,in,94.9,27.48,1215,y,dibrugarh,
dic,dili,dili,dili/cd,dic,y,,cd,afric,itc2,cd167,125.6,-8.55,,n,dili,
die,antsiranana,antsiranana,antsiranana/mg:antsiranana,die,y,,mg,afric,itc2,mg,49.3,-12.35,,y,antsiranana,
dig,diqing,diqing,diqing/cn:diqing,dig,y,,cn,asia,itc3,cn035,99.68,27.79,,y,diqing,
dij,dijon,dijon,dijon/fr,dij,y,,fr,europ,itc2,fr052,5.083,47.27,1217,n,dijon,
dik,dickinson,dickinson,dickinson/nd/us,dik,y,nd,us,namer,itc1,us108,-102.8,46.8,1218,y,dickinson,
dil,dili,dili,dili/tl:comoro,dil,y,,tl,asia,itc3,tl,125.4,-8.333,1219,y,dili,
dim,dimbokro,dimbokro,dimbokro/ci,dim,y,,ci,afric,itc2,ci,-4.7,6.65,,n,dimbokro,
din,dien bien phu,dien bien phu,dien bien/vn:dien bien airport,din,y,,vn,seasi,itc3,vn,103,21.38,,y,dien bien phu,
dio,diomede island,diomede island,diomede island/ak/us,dio,y,ak,us,namer,itc1,us111,-169,65.75,1220,n,diomede island,
dip,diapaga,diapaga,diapaga/bf,dip,y,,bf,afric,itc2,bf,1.783,12.05,1221,n,diapaga,
diq,divinopolis,divinopolis,divinopolis/mg/br,diq,y,mg,br,samer,itc1,br015,-52.17,-10.88,,n,divinopolis,
dir,dire dawa,dire dawa,dire dawa/et:aba tenna d yilma,dir,y,,et,afric,itc2,et,41.87,9.633,1222,y,dire dawa,
dis,loubomo,loubomo,loubomo/cg,dis,y,,cg,afric,itc2,cg,12.5,-4.217,1223,n,loubomo,
diu,diu,diu,diu/in,diu,y,,in,asia,itc3,in,70.92,20.72,,y,diu,
div,divo,divo,divo/ci,div,y,,ci,afric,itc2,ci,-5.367,5.833,,n,divo,
diw,dickwella mawella,dickwella mawel,dickwella/lk:mawella lagoon,diw,y,,lk,asia,itc3,lk187,80.73,5.991,,n,dickwella,
diy,diyarbakir,diyarbakir,diyarbakir/tr,diy,y,,tr,euras,itc2,tr101,40.2,37.9,,y,diyarbakir,
dja,djougou,djougou,djougou/bj,dja,y,,bj,afric,itc2,bj,1.667,9.7,,n,djougou,
djb,jambi,jambi,jambi/id:sultan taha syarifudn,djb,y,,id,seasi,itc3,id061,103.6,-1.633,1225,y,jambi,
dje,djerba,djerba,djerba/tn:melita,dje,y,,tn,afric,itc2,tn100,10.78,33.88,1226,y,djerba,
djg,djanet,djanet,djanet/dz:inedbirenne,djg,y,,dz,afric,itc2,dz,9.5,24.45,1227,y,djanet,
djj,jayapura,jayapura,jayapura/id:sentani,djj,y,,id,seasi,itc3,id063,140.5,-2.583,1228,y,jayapura,
djm,djambala,djambala,djambala/cg,djm,y,,cg,afric,itc2,cg,14.75,-2.533,1229,n,djambala,
djn,delta junction,delta junction,delta junction/ak/us,djn,y,ak,us,namer,itc1,us111,-145.7,64.03,,n,delta junction,
djo,daloa,daloa,daloa/ci,djo,y,,ci,afric,itc2,ci,-6.467,6.417,1230,n,daloa,
dju,djupivogur,djupivogur,djupivogur/is,dju,y,,is,europ,itc2,is,-14.17,64.67,1231,n,djupivogur,
dki,dunk island,dunk island,dunk island/ql/au,dki,y,ql,au,austl,itc3,au131,146.2,-17.93,1232,n,dunk island,
dkk,dunkirk,dunkirk,dunkirk/ny/us,dkk,y,ny,us,namer,itc1,us105,-79.33,42.48,,n,dunkirk,
dkr,dakar,dakar,dakar/sn:yoff,dkr,y,,sn,afric,itc2,sn,-17.5,14.75,1233,y,dakar,
dks,dikson,dikson,dikson/ru,dks,y,,ru,euras,itc2,ru143,80.37,73.52,,n,dikson,
dkv,docker river,docker river,docker river/nt/au,dkv,y,nt,au,austl,itc3,au010,129.1,-24.87,,n,docker river,
dla,douala,douala,douala/cm,dla,y,,cm,afric,itc2,cm,9.717,4.017,1234,y,douala,
dlb,dalbertis,dalbertis,dalbertis/pg,dlb,y,,pg,austl,itc3,pg,118.8,-8.45,,n,dalbertis,
dlc,dalian,dalian,dalian/cn,dlc,y,,cn,asia,itc3,cn035,121.6,38.97,1235,y,dalian,
dld,geilo,geilo,geilo/no:dagali airport,dld,y,,no,europ,itc2,no083,8.5,60.47,,n,geilo,
dle,dole,dole,dole/fr:tavaux,dle,y,,fr,europ,itc2,fr052,5.117,47.03,1236,n,dole,
dlf,del rio afb,del rio afb,del rio/tx/us:laughlin afb,drt,y,tx,us,namer,itc1,us107,-100.9,29.37,,n,del rio,
dlg,dillingham,dillingham,dillingham/ak/us:municipal,dlg,y,ak,us,namer,itc1,us111,-158.5,59.07,1237,y,dillingham,
dlh,duluth int,duluth int,duluth/mn/us:duluth intl,dlh,y,mn,us,namer,itc1,us107,-92.18,46.83,,y,duluth,
dli,dalat,dalat,dalat/vn:lienkhang,dli,y,,vn,seasi,itc3,vn,108.4,11.75,1239,y,dalat,
dlk,dulkaninna,dulkaninna,dulkaninna/sa/au,dlk,y,sa,au,austl,itc3,au009,139.5,-29.02,,n,dulkaninna,
dll,dillon,dillon,dillon/sc/us,dll,y,sc,us,namer,itc1,us105,-79.37,34.42,1240,n,dillon,
dlm,dalaman,dalaman,dalaman/tr,dlm,y,,tr,euras,itc2,tr101,28.78,36.72,,y,dalaman,
dln,dillon,dillon,dillon/mt/us,dln,y,mt,us,namer,itc1,us108,-112.6,45.22,,n,dillon,
dlo,dolomi,dolomi,dolomi/ak/us,dlo,y,ak,us,namer,itc1,us111,-132.1,55.13,,n,dolomi,
dls,the dalles,the dalles,the dalles/or/us,dls,y,or,us,namer,itc1,us110,-121.2,45.6,1241,n,the dalles,
dlu,dali,dali,dali/cn:dali,dlu,y,,cn,asia,itc3,cn035,100.3,25.67,,y,dali,
dlv,delissaville,delissaville,delissaville/nt/au,dlv,y,nt,au,austl,itc3,au010,130.3,-12.42,1242,n,delissaville,
dly,dillons bay,dillons bay,dillons bay/vu,dly,y,,vu,austl,itc3,vu115,169.2,-18.7,1243,y,dillons bay,
dlz,dalanzadgad,dalanzadgad,dalanzadgad/mn,dlz,y,,mn,asia,itc3,mn175,104.5,43.78,,n,dalanzadgad,
dma,tucson afb,tucson afb,tucson/az/us:davis monthan afb,tus,y,az,us,namer,itc1,us109,-110.9,32.17,,n,tucson,
dmb,zhambyl,zhambyl,zhambyl/kz,dmb,y,,kz,euras,itc3,kz164,71.37,42.9,,y,zhambyl,
dmd,doomadgee,doomadgee,doomadgee/ql/au,dmd,y,ql,au,austl,itc3,au131,138.8,-18,1244,y,doomadgee,
dme,moscow dme,moscow dme,moscow/ru:domodedovo,mow,y,,ru,euras,itc2,ru130,37.88,55.4,1245,y,moscow,
dmm,dammam,dammam,dammam/sa:king fahad intl,dmm,y,,sa,meast,itc2,sa,49.8,26.47,,y,dammam,
dmn,deming,deming,deming/nm/us,dmn,y,nm,us,namer,itc1,us108,-107.8,32.27,,n,deming,
dmo,sedalia,sedalia,sedalia/mo/us,dmo,y,mo,us,namer,itc1,us107,-93.42,38.83,1246,n,sedalia,
dmr,dhamar,dhamar,dhamar/ye,dmr,y,,ye,meast,itc2,ye,44.43,14.53,1247,n,dhamar,
dmt,diamantino,diamantino,diamantino/mt/br,dmt,y,mt,br,samer,itc1,br018,-56.45,-14.42,,n,diamantino,
dmu,dimapur,dimapur,dimapur/in,dmu,y,,in,asia,itc3,in,93.73,25.9,1248,y,dimapur,
dna,okinawa kad afb,okinawa kad afb,okinawa/jp:kadena afb,oka,y,,jp,asia,itc3,jp,127.8,21.43,,n,okinawa,
dnb,dunbar,dunbar,dunbar/ql/au,dnb,y,ql,au,austl,itc3,au131,142.4,-16.08,,n,dunbar,
dnc,danane,danane,danane/ci,dnc,y,,ci,afric,itc2,ci,-8.15,7.267,,n,danane,
dnd,dundee,dundee,dundee/gb,dnd,y,,gb,europ,itc2,gb053,-3.017,56.45,1250,y,dundee,
dne,dallas north arpt,dallas north ar,dallas/tx/us:dallas north,dfw,y,tx,us,namer,itc1,us107,-97.05,33.17,,n,dallas,
dnf,derna,derna,derna/ly:martuba,dnf,y,,ly,afric,itc2,ly122,22.77,32.55,,n,derna,
dng,doogan airport,doogan airport,doogan/wa/au:doogan airport,dng,y,wa,au,austl,itc3,au011,126.3,-15.38,0,n,doogan,
dnh,dunhuang,dunhuang,dunhuang/cn,dnh,y,,cn,asia,itc3,cn035,94.68,40.2,,y,dunhuang,
dni,wad medani,wad medani,wad medani/sd,dni,y,,sd,afric,itc2,sd172,33.53,14.38,1253,n,wad medani,
dnk,dnepropetrovsk,dnepropetrovsk,dnepropetrovsk/ua,dnk,y,,ua,euras,itc2,ua127,34.98,48.45,,y,dnepropetrovsk,
dnl,augusta daniel fd,augusta daniel,augusta daniel/ga/us:daniel,ags,y,ga,us,namer,itc1,us105,-82.04,33.47,,n,augusta daniel,
dnm,denham,denham,denham/wa/au,dnm,y,wa,au,austl,itc3,au011,113.5,-25.92,1254,n,denham,
dnn,dalton,dalton,dalton/ga/us:municipal,dnn,y,ga,us,namer,itc1,us105,-84.87,34.72,1255,n,dalton,
dno,dianopolis,dianopolis,dianopolis/to/br,dno,y,to,br,samer,itc1,br016,-46.85,-11.62,1256,n,dianopolis,
dnp,dang,dang,dang/np,dnp,y,,np,asia,itc3,np,82.32,28.12,1257,n,dang,
dnq,deniliquin,deniliquin,deniliquin/ns/au,dnq,y,ns,au,austl,itc3,au007,145,-35.55,1258,n,deniliquin,
dnr,dinard,dinard,dinard/fr:pleurtuit,dnr,y,,fr,europ,itc2,fr052,-2.083,48.58,1259,y,dinard,
dns,denison,denison,denison/ia/us:municipal,dns,y,ia,us,namer,itc1,us107,-95.38,41.98,1260,n,denison,
dnt,stana laguna dnt,stana laguna dn,santa ana/ca/us:downtown hpt,sna,y,ca,us,namer,itc1,us110,-117.9,33.72,,n,santa ana,
dnu,dinangat,dinangat,dinangat/pg,dnu,y,,pg,austl,itc3,pg,146.7,-6.15,,n,dinangat,
dnv,danville,danville,danville/il/us:vermilion cnty,dnv,y,il,us,namer,itc1,us107,-87.58,40.2,1261,n,danville,
dnx,dinder,dinder,dinder/sd:galegu,dnx,y,,sd,afric,itc2,sd172,35.5,12,1262,n,dinder,
dnz,denizli,denizli,denizli/tr:cardak,dnz,y,,tr,euras,itc2,tr101,29.1,37.77,,y,denizli,
doa,doany,doany,doany/mg,doa,y,,mg,afric,itc2,mg,49.52,-14.37,1263,n,doany,
dob,dobo aru,dobo aru,dobo/id:airport,dob,y,,id,seasi,itc3,id063,134.2,-5.767,,n,dobo,
doc,dornoch,dornoch,dornoch/gb,doc,y,,gb,europ,itc2,gb053,-4.083,57.88,1264,n,dornoch,
dod,dodoma,dodoma,dodoma/tz,dod,y,,tz,afric,itc2,tz,35.75,-6.183,1265,n,dodoma,
doe,djoemoe,djoemoe,djoemoe/sr,doe,y,,sr,samer,itc1,sr,-55.48,4.017,,n,djoemoe,
dof,dora bay,dora bay,dora bay/ak/us,dof,y,ak,us,namer,itc1,us111,-132.3,55.2,,n,dora bay,
dog,dongola,dongola,dongola/sd,dog,y,,sd,afric,itc2,sd172,30.43,19.18,1266,y,dongola,
doh,doha,doha,doha/qa,doh,y,,qa,meast,itc2,qa,51.57,25.27,1267,y,doha,
doi,doini,doini,doini/pg,doi,y,,pg,austl,itc3,pg,150.7,-10.72,,n,doini,
dok,donetsk,donetsk,donetsk/ua,dok,y,,ua,euras,itc2,ua127,37.75,48.08,1268,y,donetsk,
dol,deauville,deauville,deauville/fr:st gatien,dol,y,,fr,europ,itc2,fr052,0.1667,49.37,1269,y,deauville,
dom,dominica dom,dominica dom,dominica/dm:melville hall,dom,y,,dm,carib,itc1,dm,-61.3,15.53,,y,dominica,
don,dos lagunas,dos lagunas,dos lagunas/gt,don,y,,gt,camer,itc1,gt119,-89.67,17.63,,n,dos lagunas,
doo,dorobisoro,dorobisoro,dorobisoro/pg,doo,y,,pg,austl,itc3,pg,147.8,-9.5,1272,n,dorobisoro,
dop,dolpa,dolpa,dolpa/np,dop,y,,np,asia,itc3,np,82.82,29,1273,y,dolpa,
dor,dori,dori,dori/bf,dor,y,,bf,afric,itc2,bf,-0.03333,14.03,1274,n,dori,
dos,dios,dios,dios/pg,dos,y,,pg,austl,itc3,pg,155,-5.55,,n,dios,
dou,dourados,dourados,dourados/ms/br,dou,y,ms,br,samer,itc1,br017,-54.87,-22.2,1275,y,dourados,
dov,dover cheswold,dover cheswold,dover cheswold/de/us:dover afb,dov,y,de,us,namer,itc1,us105,-75.47,39.13,,n,dover cheswold,
dox,dongara,dongara,dongara/wa/au,dox,y,wa,au,austl,itc3,au011,114.9,-29.25,1276,n,dongara,
doy,dongying,dongying,dongying/cn:dongying,doy,y,,cn,asia,itc3,cn035,118.5,37.55,,y,dongying,
dpa,chicago dpa,chicago dpa,chicago/il/us:dupage county,chi,y,il,us,namer,itc1,us107,-88.25,41.9,,n,chicago,
dpe,dieppe,dieppe,dieppe/fr,dpe,y,,fr,europ,itc2,fr052,1.083,49.93,1277,n,dieppe,
dpg,dugway,dugway,dugway/ut/us:michael aaf,dpg,y,ut,us,namer,itc1,us108,-112.9,40.2,,n,dugway,
dpk,deer park,deer park,deer park/ny/us,dpk,y,ny,us,namer,itc1,us105,-73.33,40.77,,n,deer park,
dpl,dipolog,dipolog,dipolog/ph,dpl,y,,ph,pacif,itc3,ph,123.4,8.6,1278,y,dipolog,
dpo,devonport,devonport,devonport/ts/au,dpo,y,ts,au,austl,itc3,au008,146.4,-41.17,1279,y,devonport,
dps,denpasar bali,denpasar bali,denpasar bali/id:ngurah rai,dps,y,,id,seasi,itc3,id062,115.2,-8.75,1280,y,denpasar bali,
dpu,dumpu,dumpu,dumpu/pg,dpu,y,,pg,austl,itc3,pg,145.8,-5.833,,n,dumpu,
dra,mercury,mercury,mercury/nv/us:desert rock,dra,y,nv,us,namer,itc1,us110,-117.7,40.97,,n,mercury,
drb,derby,derby,derby/wa/au,drb,y,wa,au,austl,itc3,au011,123.7,-17.37,1281,n,derby,
drc,dirico,dirico,dirico/ao,drc,y,,ao,afric,itc2,ao,20.78,-17.97,,n,dirico,
drd,dorunda station,dorunda station,dorunda station/ql/au,drd,y,ql,au,austl,itc3,au131,142.4,-16.52,1282,n,dorunda station,
dre,drummond island,drummond island,drummond island/mi/us,dre,y,mi,us,namer,itc1,us105,-83.75,46.02,,n,drummond island,
drf,drift river,drift river,drift river/ak/us,drf,y,ak,us,namer,itc1,us111,-152.2,60.58,,n,drift river,
drg,deering,deering,deering/ak/us,drg,y,ak,us,namer,itc1,us111,-162.8,66.08,1283,y,deering,
drh,dabra,dabra,dabra/id,drh,y,,id,seasi,itc3,id063,138.6,-3.25,,n,dabra,
dri,de ridder,de ridder,de ridder/la/us:beauregard par,dri,y,la,us,namer,itc1,us107,-93.28,30.85,1284,n,de ridder,
drj,drietabbetje,drietabbetje,drietabbetje/sr,drj,y,,sr,samer,itc1,sr,-54.05,5.483,,n,drietabbetje,
drm,drama,drama,drama/gr,drm,y,,gr,europ,itc2,gr058,24.13,41.15,,n,drama,
drn,dirranbandi,dirranbandi,dirranbandi/ql/au,drn,y,ql,au,austl,itc3,au131,148.3,-28.5,1285,n,dirranbandi,
dro,durango la plata,durango la plat,durango/co/us:la plata,dro,y,co,us,namer,itc1,us108,-107.8,37.15,,y,durango,
drr,durrie,durrie,durrie/ql/au,drr,y,ql,au,austl,itc3,au131,140.3,-25.6,1287,n,durrie,
drs,dresden,dresden,dresden/de:dresden,drs,y,,de,europ,itc2,de040,13.75,51.05,1288,y,dresden,
drt,del rio intl,del rio intl,del rio/tx/us:international,drt,y,tx,us,namer,itc1,us107,-100.9,29.37,,y,del rio,
dru,drummond,drummond,drummond/mt/us,dru,y,mt,us,namer,itc1,us108,-113.2,46.62,1290,n,drummond,
drw,darwin,darwin,darwin/nt/au,drw,y,nt,au,austl,itc3,au010,130.9,-12.42,1291,y,darwin,
dry,drysdale river,drysdale river,d/wa/au:drysdale river airport,dry,y,wa,au,austl,itc3,au011,126.4,-15.67,0,n,drysdale river,
dsa,doncaster,doncaster,doncaster/gb:sheffield,dsa,y,,gb,europ,itc2,gb053,-1.004,53.48,,y,doncaster,
dsc,dschang,dschang,dschang/cm,dsc,y,,cm,afric,itc2,cm,10.08,5.833,1292,n,dschang,
dsd,la desirade,la desirade,la desirade/gp,dsd,y,,gp,carib,itc1,gp,-61.02,16.33,1293,n,la desirade,
dse,dessie,dessie,dessie/et:combolcha,dse,y,,et,afric,itc2,et,39.72,11.07,1294,n,dessie,
dsg,dilasag,dilasag,dilasag/ph,dsg,y,,ph,pacif,itc3,ph,124.6,12.07,,n,dilasag,
dsi,destin,destin,destin/fl/us,dsi,y,fl,us,namer,itc1,us107,-86.53,30.38,,n,destin,
dsk,dera ismail khan,dera ismail kha,dera ismail khan/pk,dsk,y,,pk,asia,itc3,pk163,70.83,31.83,1295,n,dera ismail khan,
dsl,daru,daru,daru/sl,dsl,y,,sl,afric,itc2,sl,-10.8,8,1296,n,daru,
dsm,des moines,des moines,des moines/ia/us,dsm,y,ia,us,namer,itc1,us107,-93.65,41.53,1297,y,des moines,
dsn,dongsheng,dongsheng,dongsheng/cn,dsn,y,,cn,asia,itc3,cn035,110,39.85,,y,dongsheng,
dsv,dansville,dansville,dansville/ny/us,dsv,y,ny,us,namer,itc1,us105,-76.15,43.05,,n,dansville,
dta,delta,delta,delta/ut/us,dta,y,ut,us,namer,itc1,us108,-112.5,39.38,1298,n,delta,
dtd,datadawai,datadawai,datadawai/id,dtd,y,,id,seasi,itc3,id062,116.5,0.7167,,y,datadawai,
dte,daet,daet,daet/ph:camarines norte,dte,y,,ph,pacif,itc3,ph,123,14.13,,n,daet,
dth,death valley,death valley,death valley/ca/us,dth,y,ca,us,namer,itc1,us110,-117,36.5,1299,n,death valley,
dtl,detroit lakes,detroit lakes,detroit lakes/mn/us:municipal,dtl,y,mn,us,namer,itc1,us107,-95.88,46.83,1300,n,detroit lakes,
dtm,dortmund,dortmund,dortmund/de,dtm,y,,de,europ,itc2,de040,7.467,51.52,,y,dortmund,
dtn,shreveport dwtown,shreveport dwto,shreveport/la/us:downtown,shv,y,la,us,namer,itc1,us107,-93.75,32.54,,n,shreveport,
dtr,decatur island,decatur island,decatur island/wa/us,dtr,y,wa,us,namer,itc1,us110,-122.3,47.6,,n,decatur island,
dtt,detroit,detroit,detroit/mi/us,dtt,n,mi,us,namer,itc1,us105,-83.38,42.25,,n,detroit,
dtw,detroit metro,detroit metro,detroit/mi/us:detroit metro,dtt,y,mi,us,namer,itc1,us105,-83.35,42.21,1301,y,detroit,
dua,durant,durant,durant/ok/us:eaker,dua,y,ok,us,namer,itc1,us107,-91.97,44.63,,n,durant,
dub,dublin,dublin,dublin/ie,dub,y,,ie,europ,itc2,ie064,-6.25,53.43,1302,y,dublin,
duc,duncan,duncan,duncan/ok/us:halliburton,duc,y,ok,us,namer,itc1,us107,-97.97,34.47,1303,n,duncan,
dud,dunedin,dunedin,dunedin/nz,dud,y,,nz,austl,itc3,nz084,170.4,-45.87,1304,y,dunedin,
due,dundo,dundo,dundo/ao,due,y,,ao,afric,itc2,ao,20.82,-7.4,,y,dundo,
duf,duke pine island,duke pine islan,duke/nc/us:pine island airport,duf,y,nc,us,namer,itc1,us105,-75.78,36.25,,n,duke,
dug,douglas bisbee,douglas bisbee,douglas/az/us:bisbee douglas,dug,y,az,us,namer,itc1,us109,-109.6,31.47,1305,n,douglas,
dui,duisburg rail,duisburg rail,duisburg/de:duisburg rail,dui,y,,de,europ,itc2,de040,6.75,51.47,,y,duisburg,
duj,dubois,dubois,dubois/pa/us:jefferson county,duj,y,pa,us,namer,itc1,us105,-78.9,41.18,1306,y,dubois,
duk,dukuduk,dukuduk,dukuduk/za,duk,y,,za,afric,itc2,za,32.23,-28.37,,n,dukuduk,
dum,dumai,dumai,dumai/id:pinang kampai,dum,y,,id,seasi,itc3,id061,101.5,1.683,,n,dumai,
dun,dundas,dundas,dundas/gl,dun,y,,gl,europ,itc1,gl055,-68.8,76.57,1307,n,dundas,
duq,duncan quam,duncan quam,duncan quam/bc/ca,duq,y,bc,ca,namer,itc1,ca031,-123.7,48.78,1308,y,duncan quam,
dur,durban internatio,durban internat,durban/za:durban intl,dur,y,,za,afric,itc2,za,30.95,-29.97,,y,durban,
dus,dusseldorf,dusseldorf,dusseldorf/de:dusseldorf,dus,y,,de,europ,itc2,de040,6.75,51.28,1310,y,dusseldorf,
dut,dutch harbor,dutch harbor,dutch harbor/ak/us:emergency,dut,y,ak,us,namer,itc1,us111,-166.5,53.9,1311,y,dutch harbor,
dva,deva,deva,deva/ro,dva,y,,ro,eeuro,itc2,ro094,22.92,45.88,1312,n,deva,
dvk,diavik,diavik,diavik/nt/ca:diavik,dvk,y,nt,ca,namer,itc1,ca029,-110.3,64.51,,n,diavik,
dvl,devils lake,devils lake,devils lake/nd/us,dvl,y,nd,us,namer,itc1,us107,-98.9,48.12,1313,y,devils lake,
dvn,davenport,davenport,davenport/ia/us,dvn,y,ia,us,namer,itc1,us107,-90.68,41.53,1314,n,davenport,
dvo,davao,davao,davao/ph:davao intl,dvo,y,,ph,pacif,itc3,ph,125.6,7.15,1315,y,davao,
dvp,davenport downs,davenport downs,davenport downs/ql/au,dvp,y,ql,au,austl,itc3,au131,141.1,-24.17,1316,n,davenport downs,
dvr,daly river,daly river,daly river/nt/au,dvr,y,nt,au,austl,itc3,au010,130.7,-13.75,1317,n,daly river,
dvt,phoenix dvt,phoenix dvt,phoenix/az/us:deer valley,phx,y,az,us,namer,itc1,us109,-112.1,33.68,,n,phoenix,
dwa,dwangwa,dwangwa,dwangwa/mw,dwa,y,,mw,afric,itc2,mw,34.13,-13,,n,dwangwa,
dwb,soalala,soalala,soalala/mg,dwb,y,,mg,afric,itc2,mg,45.37,-16.1,1318,n,soalala,
dwd,dawadmi,dawadmi,dawadmi/sa:dawadmi,dwd,y,,sa,meast,itc2,sa,44.37,24.48,,y,dawadmi,
dwf,dayton wright afb,dayton wright a,dayton/oh/us:wright afb,day,y,oh,us,namer,itc1,us105,-84.22,39.59,,n,dayton,
dwh,houston d w hooks,houston d w hoo,houston/tx/us:d w hooks,hou,y,tx,us,namer,itc1,us107,-95.55,30.06,,n,houston,
dwn,oklahoma cty dwn,oklahoma cty dw,oklahoma city/ok/us:downtown,okc,y,ok,us,namer,itc1,us107,-97.62,35.4,,n,oklahoma city,
dws,orlando,orlando,orlando/fl/us:disney world,orl,y,fl,us,namer,itc1,us105,-81.35,28.53,,n,orlando,
dxa,deux alpes,deux alpes,deux alpes/fr,dxa,y,,fr,europ,itc2,fr052,6.15,44.98,,n,deux alpes,
dxb,dubai,dubai,dubai/ae,dxb,y,,ae,meast,itc2,ae,55.33,25.25,1319,y,dubai,
dxd,dixie,dixie,dixie/ql/au,dxd,y,ql,au,austl,itc3,au131,143.7,-15.17,1320,n,dixie,
dxr,danbury,danbury,danbury/ct/us,dxr,y,ct,us,namer,itc1,us105,-73.45,41.38,1322,n,danbury,
dya,dysart,dysart,dysart/ql/au,dya,y,ql,au,austl,itc3,au131,149.4,-22.53,1323,n,dysart,
dyg,dayong,dayong,dayong/cn,dyg,y,,cn,asia,itc3,cn035,110.5,29.13,,y,dayong,
dyl,doylestown,doylestown,doylestown/pa/us,dyl,y,pa,us,namer,itc1,us105,-75.13,40.32,,n,doylestown,
dym,diamantina lakes,diamantina lake,diamantina lakes/ql/au,dym,y,ql,au,austl,itc3,au131,141.3,-23.87,1324,n,diamantina lakes,
dyr,anadyr,anadyr,anadyr/ru,dyr,y,,ru,euras,itc2,ru148,177.8,64.73,,y,anadyr,
dys,abilene afb,abilene afb,abilene/tx/us:dyess afb,abi,y,tx,us,namer,itc1,us107,-99.85,32.42,,n,abilene,
dyu,dushanbe,dushanbe,dushanbe/tj,dyu,y,,tj,euras,itc3,tj136,68.5,38.5,1326,y,dushanbe,
dyw,daly waters,daly waters,daly waters/nt/au,dyw,y,nt,au,austl,itc3,au010,133.4,-16.27,1327,n,daly waters,
dza,dzaoudzi,dzaoudzi,dzaoudzi/yt,dza,y,,yt,iocea,itc2,yt,45.28,-12.8,1328,y,dzaoudzi,
dzi,codazzi,codazzi,codazzi/co,dzi,y,,co,samer,itc1,co132,-73.45,9.6,1329,n,codazzi,
dzn,zhezkazgan,zhezkazgan,zhezkazgan/kz,dzn,y,,kz,euras,itc3,kz164,67.73,47.7,,y,zhezkazgan,
dzo,durazno,durazno,durazno/uy,dzo,y,,uy,samer,itc1,uy114,-56.52,-33.37,,n,durazno,
dzu,dazu,dazu,dazu/cn,dzu,y,,cn,asia,itc3,cn035,105.8,29.7,,n,dazu,
eaa,eagle,eagle,eagle/ak/us,eaa,y,ak,us,namer,itc1,us111,-141.2,64.77,1330,y,eagle,
eab,abbse,abbse,abbse/ye,eab,y,,ye,meast,itc2,ye,43.97,15.3,1331,n,abbse,
eae,emae,emae,emae/vu,eae,y,,vu,austl,itc3,vu115,168.4,-17.07,1332,y,emae,
eal,kwajelein atoll,kwajelein atoll,kwajelein at/mh:elenak airport,eal,y,,mh,pacif,itc3,mh075,167.7,8.717,,y,kwajelein atoll,
eam,nejran,nejran,nejran/sa,eam,y,,sa,meast,itc2,sa,44.23,17.57,1333,y,nejran,
ean,wheatland,wheatland,wheatland/wy/us:phifer field,ean,y,wy,us,namer,itc1,us108,-104.9,42.05,1334,n,wheatland,
eap,basel mulhouse,basel mulhouse,basel mulhouse/fr,eap,n,,fr,europ,itc2,fr052,7.533,47.6,,n,basel mulhouse,
