concat_ws(',', language_code, code, classical_name, extended_name, alternate_name1, alternate_name2, alternate_name3, alternate_name4, alternate_name5, alternate_name6, alternate_name7, alternate_name8, alternate_name9, alternate_name10)
en,aga,agadir al massira,agadir/ma:al massira
en,agb,munich augsburg,munich/de:augsburg muehlhausen
en,agc,pittsburgh,pittsburgh/pa/us:allegheny cou
en,agd,anggi,anggi/id
en,age,wangerooge,wangerooge/de:flugplatz
en,agf,agen,agen/fr:la garenne
en,agg,angoram,angoram/pg
en,agh,angelholm,angelholm/se:angelholm airport
en,agi,wageningen,wageningen/sr
en,agj,aguni,aguni/jp
en,agk,kagua,kagua/pg
en,agl,wanigela,wanigela/pg
en,agm,tasiilaq,tasiilaq/gl
en,agn,angoon,angoon/ak/us
en,ago,magnolia,magnolia/ar/us:municipal
en,agp,malaga,malaga/es
en,agq,agrinion,agrinion/gr
en,agr,agra,agra/in:kheria
en,ags,augusta bush fld,augusta/ga/us:bush field
en,agt,ciudad del este,ciudad del este/py:alejo garci
en,agu,aguascalientes,aguascalientes/mx
en,agv,acarigua,acarigua/ve
en,agw,agnew,agnew/ql/au
en,agx,agatti island,agatti island/in
en,agy,argyle downs,argyle downs/wa/au
en,agz,aggeneys,aggeneys/za
en,aha,okinawa,okinawa/jp:naha afb,air force base
en,ahb,abha,abha/sa
en,ahc,herlong,herlong/ca/us:amedee aaf
en,ahd,ardmore downtown,ardmore/ok/us:downtown
en,ahe,ahe,ahe/pf
en,ahf,arapahoe,arapahoe/ne/us:municipal
en,ahh,amery,amery/wi/us:municipal
en,ahi,amahai,amahai/id
en,ahl,aishalton,aishalton/gy
en,ahm,ashland,ashland/or/us:sumner parker fi
en,ahn,athens,athens/ga/us
en,aho,alghero,alghero/it:fertilia
en,ahs,ahuas,ahuas/hn
en,aht,amchitka,amchitka/ak/us
en,ahu,al hoceima,al hoceima/ma:charif al idriss
en,ahy,ambatolahy,ambatolahy/mg
en,ahz,alpe d huez,alpe d huez/fr
en,aia,alliance,alliance/ne/us
en,aib,anita bay,anita bay/ak/us
en,aic,airok,airok/mh
en,aid,anderson,anderson/in/us:anderson mnpl
en,aie,aiome,aiome/pg
en,aif,assis,assis/sp/br
en,aig,yalinga,yalinga/cf
en,aih,aiambak,aiambak/pg
en,aii,alisabieh,alisabieh/dj
en,aik,aiken,aiken/sc/us:municipal
en,ail,ailigandi,ailigandi/pa
en,aim,ailuk island,ailuk island/mh
en,ain,wainwright,wainwright/ak/us
en,aio,atlantic,atlantic/ia/us:municipal
en,aip,ailinglapalap isl,ailinglapalap isl/mh
en,air,aripuana,aripuana/mt/br
en,ais,arorae island,arorae island/ki
en,ait,aitutaki,aitutaki/ck
en,aiu,atiu island,atiu island/ck
en,aiv,aliceville,aliceville/al/us:george downer
en,aiw,ai ais,ai ais/na
en,aiy,atlantic city,atlantic city/nj/us:bader fiel
en,aiz,kaiser lake ozark,kaiser lake ozark/mo/us:lee c
en,aja,ajaccio,ajaccio/fr:campo dell oro
en,ajf,jouf,jouf/sa
en,aji,agri,agri/tr
en,ajj,akjoujt,akjoujt/mr
en,ajk,araak,araak/ir:araak
en,ajl,aizawl,aizawl/in
en,ajn,anjouan,anjouan/km:ouani
en,ajo,aljouf,aljouf/ye
en,ajr,arvidsjaur,arvidsjaur/se
en,ajs,abreojos,abreojos/mx
en,aju,aracaju,aracaju/se/br:aracaju
en,ajy,agades,agades/ne
en,aka,ankang,ankang/cn
en,akb,atka,atka/ak/us
en,akc,akron canton,akron canto/oh/us:akron fulton
en,akd,akola,akola/in
en,ake,akieni,akieni/ga
en,akf,kufrah,kufrah/ly
en,akg,anguganak,anguganak/pg
en,akh,al kharj,al k/sa:prince sultan air base
en,aki,akiak,akiak/ak/us
en,akj,asahikawa,asahikawa/jp
en,akk,akhiok,akhiok/ak/us:akhiok spb
en,akl,auckland,auckland/nz:auckland
en,akm,zakouma,zakouma/td
en,akn,king salmon,king salmon/ak/us
en,ako,akron,akron/co/us:washington co
en,akp,anaktuvuk,anaktuvuk/ak/us
en,akq,astraksetra,astraksetra/id:gunung batin
en,akr,akure,akure/ng
en,aks,auki,auki/sb:gwaunaru'u
en,akt,akrotiri,akrotiri/cy:akrotiri raf
en,aku,aksu,aksu/cn
en,akv,akulivik,akulivik/qc/ca
en,akw,aghajari,aghajari/ir:aghajari
en,akx,aktyubinsk,aktyubinsk/kz
en,aky,sittwe,sittwe/mm:civil
en,ala,almaty,almaty/kz
en,alb,albany intl,albany/ny/us:albany intl apt
en,alc,alicante,alicante/es
en,ald,alerta,alerta/pe
en,ale,alpine,alpine/tx/us
en,alf,alta,alta/no
en,alg,algiers,algiers/dz:houari boumediene
en,alh,albany,albany/wa/au
en,ali,alice,alice/tx/us:international
en,alj,alexander bay,alexander bay/za:kortdoorn
en,alk,asela,asela/et
en,all,albenga,albenga/it
en,alm,alamogordo alm,alamogordo/nm/us:municipal
en,aln,alton,alton/il/us
en,alo,waterloo,waterloo/ia/us
en,alp,aleppo,aleppo/sy:nejrab
en,alq,alegrete,alegrete/rs/br:federal
en,alr,alexandra,alexandra/nz
en,als,alamosa,alamosa/co/us:municipal
en,alt,alenquer,alenquer/pa/br
en,alu,alula,alula/so
en,alv,andorra la vella,andorra la vella/ad:heliport
en,alw,walla walla,walla walla/wa/us
en,alx,alexander city,alexander city/al/us:tc russel
en,aly,alexandria aly,alexandria/eg:el nohza
en,alz,alitak,alitak/ak/us:alitak spb
en,ama,amarillo int,amarillo/tx/us:international
en,amb,ambilobe,ambilobe/mg
en,amc,am timan,am timan/td
en,amd,ahmedabad,ahmedabad/in
en,ame,alto molocue,alto molocue/mz
en,amf,ama,ama/pg
en,amg,amboin,amboin/pg
en,amh,arba mintch,arba mintch/et
en,ami,mataram,mataram/id:selaparang
en,amj,almenara,almenara/mg/br
en,amk,durango,durango/co/us:animas airpark
en,aml,puerto armuellas,puerto armuellas/pa
en,amm,amman,amman/jo:queen alia
en,amn,alma,alma/mi/us:gratiot community
en,amo,mao,mao/td
en,amp,ampanihy,ampanihy/mg
en,amq,ambon,ambon/id:pattimura
en,amr,arno,arno/mh
en,ams,amsterdam,amsterdam/nl:schiphol
en,amt,amata,amata/nt/au
en,amu,amanab,amanab/pg
en,amv,amderma,amderma/ru
en,amw,ames,ames/ia/us
en,amx,ammaroo,ammaroo/nt/au
en,amy,ambatomainty,ambatomainty/mg
en,amz,ardmore,ardmore/nz
en,ana,anaheim,anaheim/ca/us
en,anb,anniston,anniston/al/us:county
en,anc,anchorage intl,anchorage/ak/us:anchorage intl
en,and,anderson,anderson/sc/us
en,ane,angers,angers/fr:marce
en,anf,antofagasta,antofagasta/cl:cerro moreno
en,ang,angouleme,angouleme/fr:brie-champniers
en,anh,anuha isld resort,anuha island resort/sb
en,ani,aniak,aniak/ak/us
en,anj,zanaga,zanaga/cg
en,ank,ankara etimesgut,ankara/tr:etimesgut
en,anl,andulo,andulo/ao
en,anm,antalaha,antalaha/mg:antsirabato
en,ann,annette island,annette island/ak/us
en,ano,angoche,angoche/mz
en,anp,annapolis,annapolis/md/us:lee
en,anq,angola,angola/in/us:tri state steuben
en,anr,antwerp brussels,brussels/be:antwerp brussels n
en,ans,andahuaylas,andahuaylas/pe
en,ant,st anton,st anton/at
en,anu,antigua,antigua/ag:vc bird intl
en,anv,anvik,anvik/ak/us
en,anw,ainsworth,ainsworth/ne/us
en,anx,andenes,andenes/no
en,any,anthony,anthony/ks/us
en,anz,angus downs,angus downs/nt/au
en,aoa,aroa,aroa/pg
en,aob,annanberg,annanberg/pg
en,aoc,altenburg,altenburg/de:altenburg nobitz
en,aod,abou deia,abou deia/td
en,aoe,anadolu ubiv apt,eskisehir/tr:anadolu universit
en,aog,anshan,anshan/cn
en,aoh,lima,lima/oh/us:allen county
en,aoi,ancona,ancona/it:falconara
en,aoj,aomori,aomori/jp
en,aok,karpathos,karpathos/gr
en,aol,paso de los libre,paso de los libres/cr/ar
en,aon,arona,arona/pg
en,aoo,altoona/martinsbg,altoona/pa/us
en,aor,alor setar,alor setar/my
en,aos,amook,amook/ak/us
en,aot,aosta,aosta/it:corrado gex airport
en,aou,attopeu,attopeu/la
en,apa,denver arapahoe,denver/co/us:arapahoe co
en,apb,apolo,apolo/bo
en,apc,napa,napa/ca/us:napa county
en,ape,san juan aposento,san juan aposento/pe
en,apf,naples,naples/fl/us
en,apg,aberdeen,aberdeen/md/us:phillips aaf
en,aph,bowling green,bowling green/va/us:camp a p h
en,api,apiay,apiay/co
en,apk,apataki,apataki/pf
en,apl,nampula,nampula/mz
en,apn,alpena,alpena/mi/us:county regional
en,apo,apartado,apartado/co
en,app,asapa,asapa/pg
en,apq,arapiraca,arapiraca/al/br
en,apr,april river,april river/pg
en,aps,anapolis,anapolis/go/br
en,apt,jasper,jasper/tn/us:marion county
en,apu,apucarana,apucarana/pr/br
en,apv,apple valley,apple valley/ca/us
en,apw,apia faleolo,apia/ws:faleolo
en,apx,arapongas,arapongas/pr/br
en,apy,alto parnaiba,alto parnaiba/ma/br
en,apz,zapala,zapala/ne/ar
en,aqa,araraquara,araraquara/sp/br
en,aqb,quiche,quiche/gt:quiche
en,aqg,anqing,anqing/cn
en,aqi,qaisumah,qaisumah/sa
en,aqj,aqaba,aqaba/jo:king hussein intl
en,aqm,ariquemes,ariquemes/ro/br
en,aqp,arequipa,arequipa/pe:rodriguez ballon
en,aqs,saqani,saqani/fj
en,aqy,alyeska,alyeska/ak/us
en,ara,new iberia,new iberia/la/us:acadiana rgnl
en,arb,ann arbor,ann arbor/mi/us:municipal
en,arc,arctic village,arctic village/ak/us
en,ard,alor island,alor island/id
en,are,arecibo,arecibo/pr
en,arf,acaricuara,acaricuara/co
en,arg,walnut ridge,walnut ridge/ar/us
en,arh,arkhangelsk,arkhangelsk/ru
en,ari,arica,arica/cl:chacalluta
en,arj,arso,arso/id
en,ark,arusha,arusha/tz
en,arl,arly,arly/bf
en,arm,armidale,armidale/ns/au
en,arn,stockholm arlanda,stockholm/se:arlanda
en,aro,arboletas,arboletas/co
en,arp,aragip,aragip/pg
en,arq,arauquita,arauquita/co
en,arr,alto rio senguerr,alto rio senguerr/cb/ar
en,ars,aragarcas,aragarcas/go/br
en,art,watertown,watertown/ny/us
en,aru,aracatuba,aracatuba/sp/br
en,arv,minocqua,minocqua/wi/us:noble f lee
en,arw,arad,arad/ro
en,arx,asbury park,asbury park/nj/us
en,ary,ararat,ararat/vi/au
en,arz,n'zeto,n'zeto/ao
en,asa,assab,assab/er
en,asb,ashgabad,ashgabad/tm,ashgabat,asgabat
en,asc,ascension,ascension/bo
en,asd,andros town,andros town/bs
en,ase,aspen,aspen/co/us
en,asf,astrakhan,astrakhan/ru
en,asg,ashburton,ashburton/nz
en,ash,nashua,nashua/nh/us:boire field
en,asi,georgetown,georgetown/sh:wideawake field
en,asj,amami o shima,amami o shima/jp
en,ask,yamoussoukro,yamoussoukro/ci
en,asl,marshall,marshall/tx/us:harrison county
en,asm,asmara,asmara/er:asmara international
en,asn,talladega,talladega/al/us
en,aso,asosa,asosa/et
en,asp,alice springs,alice springs/nt/au
en,asq,austin,austin/nv/us
en,asr,kayseri,kayseri/tr
en,ast,astoria,astoria/or/us
en,asu,asuncion,asuncion/py:silvio pettirossi
en,asv,amboseli,amboseli/ke
en,asw,aswan,aswan/eg
en,asx,ashland,ashland/wi/us
en,asy,ashley,ashley/nd/us
en,asz,asirim,asirim/pg
en,ata,anta,anta/pe
en,atb,atbara,atbara/sd
en,atc,arthur's town,arthur's town/bs
en,atd,atoifi,atoifi/sb
en,ate,antlers,antlers/ok/us
en,atf,ambato,ambato/ec:chachoan
en,atg,attock,attock/pk
en,ath,athens,athens/gr:int e venizelosc,athens
