concat(code, ',,,', is_airport, ',y,n,', is_commercial, ',')	trim(state_code)	concat(',', rel_country_code, ',', rel_region_code, ',', rel_continent_code, ',', rel_time_zone_grp, ',')	longitude	,	latitude	,
afk,adp,,y,n,n,n,		,lk,asia,itc3,lk187,	81.64	,	7.292	,
afl,,,y,y,n,y,	mt	,br,samer,itc1,br018,	-56.1	,	-9.85	,
afn,,,y,y,n,n,	nh	,us,namer,itc1,us105,	-72	,	42.8	,
afo,,,y,y,n,n,	wy	,us,namer,itc1,us108,	-110.9	,	42.72	,
afr,,,y,y,n,n,		,pg,austl,itc3,pg,	148.4	,	-9.133	,
afs,,,y,y,n,y,		,uz,euras,itc3,uz138,	64.23	,	41.61	,
aft,,,y,y,n,y,		,sb,austl,itc3,sb,	160.9	,	-9.183	,
afw,dfw,,y,n,n,n,	tx	,us,namer,itc1,us107,	-97.03	,	32.95	,
afy,,,y,y,n,n,		,tr,euras,itc2,tr101,	30.6	,	38.73	,
afz,,,y,y,n,y,		,ir,meast,itc2,ir120,	57.67	,	36.21	,
aga,,,y,y,n,y,		,ma,afric,itc2,ma196,	-9.55	,	30.38	,
agb,muc,,y,n,n,n,		,de,europ,itc2,de040,	10.9	,	48.38	,
agc,pit,,y,n,n,n,	pa	,us,namer,itc1,us105,	-79.93	,	40.35	,
agd,,,y,y,n,n,		,id,seasi,itc3,id063,	133.9	,	-1.383	,
age,,,y,y,n,n,		,de,europ,itc2,de040,	7.917	,	53.78	,
agf,,,y,y,n,y,		,fr,europ,itc2,fr052,	0.6	,	44.18	,
agg,,,y,y,n,n,		,pg,austl,itc3,pg,	144.1	,	-4.067	,
agh,,,y,y,n,y,		,se,europ,itc2,se095,	12.85	,	56.3	,
agi,,,y,y,n,n,		,sr,samer,itc1,sr,	-56.68	,	5.767	,
agj,,,y,y,n,n,		,jp,asia,itc3,jp,	127.2	,	26.83	,
agk,,,y,y,n,n,		,pg,austl,itc3,pg,	143.8	,	-6.333	,
agl,,,y,y,n,n,		,pg,austl,itc3,pg,	149.2	,	-9.333	,
agm,,,y,y,n,y,		,gl,europ,itc1,gl055,	-38	,	65.58	,
agn,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-134.6	,	57.5	,
ago,,,y,y,n,n,	ar	,us,namer,itc1,us107,	-93.22	,	33.23	,
agp,,,y,y,n,y,		,es,europ,itc2,es045,	-4.5	,	36.67	,
agq,,,y,y,n,n,		,gr,europ,itc2,gr058,	21.38	,	38.6	,
agr,,,y,y,n,y,		,in,asia,itc3,in,	77.97	,	27.15	,
ags,,,y,y,n,y,	ga	,us,namer,itc1,us105,	-81.97	,	33.37	,
agt,,,y,y,n,y,		,py,samer,itc1,py093,	-54.52	,	-25.52	,
agu,,,y,y,n,y,		,mx,namer,itc1,mx168,	-102.3	,	21.87	,
agv,,,y,y,n,y,		,ve,samer,itc1,ve194,	-69.23	,	9.55	,
agw,,,y,y,n,n,	ql	,au,austl,itc3,au131,	142.2	,	-12.15	,
agx,,,y,y,n,y,		,in,asia,itc3,in,	72.2	,	10.83	,
agy,,,y,y,n,n,	wa	,au,austl,itc3,au011,	128.8	,	-16.35	,
agz,,,y,y,n,n,		,za,afric,itc2,za,	18.85	,	-29.05	,
aha,oka,,y,n,n,n,		,jp,asia,itc3,jp,	127.7	,	26.2	,
ahb,,,y,y,n,y,		,sa,meast,itc2,sa,	42.5	,	18.22	,
ahc,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-120.2	,	40.27	,
ahd,adm,,y,n,n,n,	ok	,us,namer,itc1,us107,	-97.15	,	34.15	,
ahe,,,y,y,n,y,		,pf,pacif,itc3,pf087,	-146.3	,	-14.43	,
ahf,,,y,y,n,n,	ne	,us,namer,itc1,us107,	-99.9	,	40.3	,
ahh,,,y,y,n,n,	wi	,us,namer,itc1,us107,	-92.37	,	45.28	,
ahi,,,y,y,n,n,		,id,seasi,itc3,id063,	128.9	,	-3.333	,
ahl,,,y,y,n,n,		,gy,samer,itc1,gy,	-59.32	,	2.483	,
ahm,,,y,y,n,n,	or	,us,namer,itc1,us110,	-122.7	,	42.19	,
ahn,,,y,y,n,n,	ga	,us,namer,itc1,us105,	-83.33	,	33.95	,
aho,,,y,y,n,y,		,it,europ,itc2,it067,	8.283	,	40.63	,
ahs,,,y,y,n,y,		,hn,camer,itc1,hn,	-84.42	,	15.43	,
aht,,,y,y,n,n,	ak	,us,namer,itc1,us112,	179	,	51.5	,
ahu,,,y,y,n,y,		,ma,afric,itc2,ma196,	-3.833	,	35.18	,
ahy,,,y,y,n,n,		,mg,afric,itc2,mg,	45.53	,	-20.02	,
ahz,,,y,y,n,n,		,fr,europ,itc2,fr052,	6.083	,	45.08	,
aia,,,y,y,n,y,	ne	,us,namer,itc1,us108,	-102.8	,	42.07	,
aib,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-132.4	,	56.23	,
aic,,,y,y,n,n,		,mh,pacif,itc3,mh075,	171.2	,	7.1	,
aid,,,y,y,n,n,	in	,us,namer,itc1,us105,	-85.68	,	40.17	,
aie,,,y,y,n,n,		,pg,austl,itc3,pg,	144.7	,	-5.133	,
aif,,,y,y,n,n,	sp	,br,samer,itc1,br015,	-50.42	,	-22.67	,
aig,,,y,y,n,n,		,cf,afric,itc2,cf,	23.25	,	6.517	,
aih,,,n,y,n,n,		,pg,austl,itc3,pg,	141.3	,	-7.349	,
aii,,,y,y,n,n,		,dj,afric,itc2,dj,	42.72	,	11.15	,
aik,,,y,y,n,n,	sc	,us,namer,itc1,us105,	-81.68	,	33.65	,
ail,,,y,y,n,n,		,pa,camer,itc1,pa,	-78.02	,	9.233	,
aim,,,y,y,n,n,		,mh,pacif,itc3,mh075,	170	,	10.2	,
ain,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-160	,	70.63	,
aio,,,y,y,n,n,	ia	,us,namer,itc1,us107,	-95.02	,	41.4	,
aip,,,y,y,n,n,		,mh,pacif,itc3,mh075,	168.8	,	7.267	,
air,,,y,y,n,n,	mt	,br,samer,itc1,br018,	-56.45	,	-14.42	,
ais,,,y,y,n,n,		,ki,austl,itc3,ki069,	176.8	,	-2.633	,
ait,,,y,y,n,y,		,ck,austl,itc3,ck,	-159.8	,	-18.85	,
aiu,,,y,y,n,y,		,ck,austl,itc3,ck,	-158.1	,	-20.03	,
aiv,,,y,y,n,n,	al	,us,namer,itc1,us107,	-88.2	,	33.1	,
aiw,,,y,y,n,n,		,na,afric,itc2,na004,	17.58	,	-27.98	,
aiy,,,y,y,n,n,	nj	,us,namer,itc1,us105,	-74.45	,	39.37	,
aiz,,,y,y,n,n,	mo	,us,namer,itc1,us107,	-92.55	,	38.1	,
aja,,,y,y,n,y,		,fr,europ,itc2,fr052,	8.8	,	41.92	,
ajf,,,y,y,n,y,		,sa,meast,itc2,sa,	40.2	,	29.93	,
aji,,,y,y,n,y,		,tr,euras,itc2,tr101,	43.03	,	39.65	,
ajj,,,y,y,n,n,		,mr,afric,itc2,mr,	-14.38	,	19.73	,
ajk,,,y,y,n,n,		,ir,meast,itc2,ir120,	49.68	,	34.09	,
ajl,,,y,y,n,y,		,in,asia,itc3,in,	92.72	,	23.73	,
ajn,,,y,y,n,y,		,km,iocea,itc2,km,	44.43	,	-12.13	,
ajo,,,y,y,n,n,		,ye,meast,itc2,ye,	44.25	,	15.72	,
ajr,,,y,y,n,y,		,se,europ,itc2,se095,	19.28	,	65.58	,
ajs,,,y,y,n,n,		,mx,namer,itc1,mx080,	-113.6	,	26.73	,
aju,,,y,y,n,y,	se	,br,samer,itc1,br016,	-37.07	,	-10.9	,
ajy,,,y,y,n,n,		,ne,afric,itc2,ne,	7.983	,	16.97	,
aka,,,y,y,n,y,		,cn,asia,itc3,cn035,	109	,	32.5	,
akb,,,y,y,n,y,	ak	,us,namer,itc1,us112,	-174.2	,	52.2	,
akc,cak,,y,n,n,n,	oh	,us,namer,itc1,us105,	-81.07	,	41.4	,
akd,,,y,y,n,n,		,in,asia,itc3,in,	77.08	,	20.67	,
ake,,,y,y,n,n,		,ga,afric,itc2,ga,	13.92	,	-1.167	,
akf,,,y,y,n,y,		,ly,afric,itc2,ly122,	23.32	,	24.2	,
akg,,,y,y,n,n,		,pg,austl,itc3,pg,	142.3	,	-3.583	,
akh,,,y,y,n,n,		,sa,meast,itc2,sa,	47.58	,	24.06	,
aki,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-161.2	,	60.9	,
akj,,,y,y,n,y,		,jp,asia,itc3,jp,	142.5	,	43.5	,
akk,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-154.2	,	56.95	,
akl,,,y,y,n,y,		,nz,austl,itc3,nz084,	174.8	,	-37.02	,
akm,,,y,y,n,n,		,td,afric,itc2,td,	19.82	,	10.88	,
akn,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-156.6	,	58.52	,
ako,,,y,y,n,n,	co	,us,namer,itc1,us108,	-103.2	,	40.17	,
akp,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-151.7	,	68.13	,
akq,,,y,y,n,n,		,id,seasi,itc3,id061,	105.2	,	-4.617	,
akr,,,y,y,n,n,		,ng,afric,itc2,ng,	5.2	,	7.25	,
aks,,,y,y,n,y,		,sb,austl,itc3,sb,	160.7	,	-8.667	,
akt,,,y,y,n,n,		,cy,europ,itc2,cy039,	32.95	,	35.57	,
aku,,,y,y,n,y,		,cn,asia,itc3,cn035,	75.67	,	38.67	,
akv,,,y,y,n,y,	qc	,ca,namer,itc1,ca025,	-78.58	,	60.73	,
akw,,,y,y,n,n,		,ir,meast,itc2,ir120,	49.68	,	30.75	,
akx,,,y,y,n,y,		,kz,euras,itc3,kz162,	57.22	,	50.25	,
aky,,,y,y,n,y,		,mm,seasi,itc3,mm,	92.87	,	20.12	,
ala,,,y,y,n,y,		,kz,euras,itc3,kz164,	76.92	,	43.32	,
alb,,,y,y,n,y,	ny	,us,namer,itc1,us105,	-73.8	,	42.73	,
alc,,,y,y,n,y,		,es,europ,itc2,es045,	-0.5	,	38.38	,
ald,,,y,y,n,n,		,pe,samer,itc1,pe155,	-69.35	,	-11.7	,
ale,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-103.7	,	30.38	,
alf,,,y,y,n,y,		,no,europ,itc2,no083,	23.37	,	69.98	,
alg,,,y,y,n,y,		,dz,afric,itc2,dz,	3.217	,	36.7	,
alh,,,y,y,n,y,	wa	,au,austl,itc3,au011,	117.8	,	-34.95	,
ali,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-98.02	,	27.73	,
alj,,,y,y,n,n,		,za,afric,itc2,za,	16.53	,	-28.62	,
alk,,,y,y,n,n,		,et,afric,itc2,et,	39.12	,	7.967	,
all,,,y,y,n,n,		,it,europ,itc2,it067,	8.117	,	44.03	,
alm,,,y,y,n,y,	nm	,us,namer,itc1,us108,	-106	,	32.83	,
aln,,,y,y,n,n,	il	,us,namer,itc1,us107,	-90.17	,	38.88	,
alo,,,y,y,n,y,	ia	,us,namer,itc1,us107,	-92.38	,	42.55	,
alp,,,y,y,n,y,		,sy,meast,itc2,sy098,	37.23	,	36.18	,
alq,,,y,y,n,n,	rs	,br,samer,itc1,br015,	-55.73	,	-29.8	,
alr,,,y,y,n,n,		,nz,austl,itc3,nz084,	169.4	,	-45.22	,
als,,,y,y,n,y,	co	,us,namer,itc1,us108,	-105.9	,	37.43	,
alt,,,y,y,n,n,	pa	,br,samer,itc1,br018,	-54.73	,	-1.933	,
alu,,,y,y,n,n,		,so,afric,itc2,so,	50.67	,	11.88	,
alv,,,y,y,n,n,		,ad,europ,itc2,ad001,	0.45	,	40.98	,
alw,,,y,y,n,y,	wa	,us,namer,itc1,us110,	-118.3	,	46.1	,
alx,,,y,y,n,n,	al	,us,namer,itc1,us107,	-85.95	,	32.93	,
aly,,,y,y,n,y,		,eg,afric,itc2,eg044,	29.95	,	31.18	,
alz,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-154.2	,	56.88	,
ama,,,y,y,n,y,	tx	,us,namer,itc1,us107,	-101.7	,	35.23	,
amb,,,y,y,n,n,		,mg,afric,itc2,mg,	48.98	,	-13.18	,
amc,,,y,y,n,n,		,td,afric,itc2,td,	20.28	,	11.03	,
amd,,,y,y,n,y,		,in,asia,itc3,in,	72.63	,	23.07	,
ame,,,y,y,n,n,		,mz,afric,itc2,mz,	37.68	,	-15.65	,
amf,,,y,y,n,n,		,pg,austl,itc3,pg,	141.7	,	-4.167	,
amg,,,y,y,n,n,		,pg,austl,itc3,pg,	143.5	,	-4.6	,
amh,,,y,y,n,y,		,et,afric,itc2,et,	37.5	,	6	,
ami,,,y,y,n,y,		,id,seasi,itc3,id062,	116.1	,	-8.567	,
amj,,,y,y,n,n,	mg	,br,samer,itc1,br015,	-40.68	,	-16.18	,
amk,dro,,y,n,n,n,	co	,us,namer,itc1,us108,	-107.8	,	37.15	,
aml,,,y,y,n,n,		,pa,camer,itc1,pa,	-82.87	,	8.3	,
amm,,,y,y,n,y,		,jo,meast,itc2,jo068,	35.98	,	31.97	,
amn,,,y,y,n,n,	mi	,us,namer,itc1,us105,	-84.65	,	43.38	,
amo,,,y,y,n,n,		,td,afric,itc2,td,	15.32	,	14.12	,
amp,,,y,y,n,n,		,mg,afric,itc2,mg,	44.73	,	-24.7	,
amq,,,y,y,n,y,		,id,seasi,itc3,id063,	128.1	,	-3.7	,
amr,,,y,y,n,n,		,mh,pacif,itc3,mh075,	171.7	,	7.083	,
ams,,,y,y,n,y,		,nl,europ,itc2,nl082,	4.9	,	52.35	,
amt,,,y,y,n,n,	nt	,au,austl,itc3,au010,	131.1	,	-26.2	,
amu,,,y,y,n,n,		,pg,austl,itc3,pg,	141.3	,	-3.517	,
amv,,,y,y,n,y,		,ru,euras,itc2,ru130,	61.55	,	69.77	,
amw,,,y,y,n,n,	ia	,us,namer,itc1,us107,	-93.62	,	42	,
amx,,,y,y,n,n,	nt	,au,austl,itc3,au010,	135.2	,	-21.73	,
amy,,,y,y,n,y,		,mg,afric,itc2,mg,	45.67	,	-17.68	,
amz,,,y,y,n,n,		,nz,austl,itc3,nz084,	175	,	-37.03	,
ana,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-118	,	33.85	,
anb,,,y,y,n,n,	al	,us,namer,itc1,us107,	-85.85	,	33.58	,
anc,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-150	,	61.17	,
and,,,y,y,n,n,	sc	,us,namer,itc1,us105,	-82.72	,	34.5	,
ane,,,y,y,n,y,		,fr,europ,itc2,fr052,	-0.55	,	47.47	,
anf,,,y,y,n,y,		,cl,samer,itc1,cl033,	-70.43	,	-23.43	,
ang,,,y,y,n,n,		,fr,europ,itc2,fr052,	0.2	,	45.67	,
anh,,,y,y,n,n,		,sb,austl,itc3,sb,	160.5	,	-8.983	,
ani,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-159.5	,	61.58	,
anj,,,y,y,n,n,		,cg,afric,itc2,cg,	13.83	,	-2.85	,
ank,,,y,y,n,n,		,tr,euras,itc2,tr101,	33	,	40.13	,
anl,,,y,y,n,n,		,ao,afric,itc2,ao,	16.75	,	-11.5	,
anm,,,y,y,n,y,		,mg,afric,itc2,mg,	50.33	,	-15	,
ann,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-131.6	,	55.03	,
ano,,,y,y,n,n,		,mz,afric,itc2,mz,	39.93	,	-16.17	,
anp,,,y,y,n,n,	md	,us,namer,itc1,us105,	-76.5	,	38.98	,
anq,,,y,y,n,n,	in	,us,namer,itc1,us105,	-85	,	41.63	,
anr,bru,,y,n,n,y,		,be,europ,itc2,be012,	4.467	,	51.18	,
ans,,,y,y,n,y,		,pe,samer,itc1,pe155,	-73.42	,	-13.65	,
ant,,,y,y,n,n,		,at,europ,itc2,at005,	10.28	,	47.15	,
anu,,,y,y,n,y,		,ag,carib,itc1,ag,	-61.75	,	17.33	,
anv,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-160.2	,	62.65	,
anw,,,y,y,n,n,	ne	,us,namer,itc1,us107,	-99.98	,	42.58	,
anx,,,y,y,n,y,		,no,europ,itc2,no083,	16.12	,	69.32	,
any,,,y,y,n,n,	ks	,us,namer,itc1,us107,	-98.03	,	37.15	,
anz,,,y,y,n,n,	nt	,au,austl,itc3,au010,	132.2	,	-25.08	,
aoa,,,y,y,n,n,		,pg,austl,itc3,pg,	146.8	,	-9.033	,
aob,,,y,y,n,n,		,pg,austl,itc3,pg,	144.7	,	-4.917	,
aoc,,,y,y,n,n,		,de,europ,itc2,de040,	12.47	,	50.98	,
aod,,,y,y,n,n,		,td,afric,itc2,td,	19.28	,	11.47	,
aoe,esk,,y,n,n,y,		,tr,euras,itc2,tr101,	30.53	,	39.8	,
aog,,,y,y,n,n,		,cn,asia,itc3,cn035,	123	,	41.17	,
aoh,,,y,y,n,n,	oh	,us,namer,itc1,us105,	-84.1	,	40.72	,
