#
# Flight frequency values for 688 airlines.
#
# [FA] Project reference: Open Travel Data (http://github.com/opentraveldata/optd)
# [FA] Generation date: 2014-04-04
# [FA] License: CC-BY-SA (http://creativecommons.org/licenses/by-sa/3.0/deed.en_US)
# [FA] Validity period:
# [FA]   From: 2014-04-03
# [FA]   To: 2014-04-09
#
# airline_code_2c^flight_freq
AA^1151732
US^1130404
DL^962904
EV^851680
WN^695001
UA^673704
OO^652061
9B^626141
CZ^611689
MU^602235
AC^554530
LH^399819
CA^396985
TK^324510
G3^320485
9E^299787
BA^298148
U2^278743
AF^277983
2A^275794
QF^275337
JJ^271279
SK^239371
NH^237623
JT^236584
KL^232872
LA^203509
NZ^196413
AB^195122
WS^194092
JL^194065
VA^193334
GA^192593
MH^187326
SU^184373
SV^183811
9W^180989
6E^178766
EK^177742
AS^177003
B6^172245
2C^166054
ZH^165384
AV^164222
DY^161870
AK^155280
AI^151590
AD^149842
LX^147248
3U^145838
KE^145753
AZ^143876
VN^143103
QR^141855
MF^138840
QX^133508
VO^131759
WF^131169
HU^128009
BE^127894
CL^127247
PC^124758
9K^124754
SG^123602
7H^123536
5J^118087
S5^115749
AM^115674
VY^104643
AR^103980
FM^103368
OZ^103240
EY^102735
TG^100907
JQ^100415
EH^98103
IB^94434
G7^94028
UX^93047
CX^92723
CM^91630
NK^91217
GS^90769
FD^85426
4O^84951
SQ^84903
TP^84352
5D^84281
MS^84124
YX^83759
HA^82968
WY^82869
SC^82320
TA^79929
Y4^79313
XQ^77842
IW^76141
SJ^75435
JC^73176
4U^72917
SN^72862
YW^71914
S7^70668
9C^70171
CP^69911
ET^69506
ZL^68901
EI^68808
RP^66767
9N^66248
YS^66143
QZ^65296
AT^65100
CI^63494
O6^63236
W6^62785
BC^60294
PG^59362
AX^58300
3M^58077
VX^58064
LO^57288
KA^57105
KQ^56886
DD^56431
SA^56164
PD^52347
FV^52320
HD^51920
GF^51336
FL^51170
G8^50493
G9^49579
DB^49334
AY^49087
PR^48603
MY^46900
A3^46657
BR^46258
4Z^45494
GV^44636
JD^43764
F9^43563
BT^43362
MN^42153
ZK^41295
W3^40891
CT^40433
QG^40418
4Y^39912
UT^39911
EW^39891
PS^39867
RJ^39780
XZ^39578
KC^39283
PK^39062
2H^38993
FW^38796
RO^38222
FY^38093
LS^37912
MI^37742
ZB^37667
TR^37648
EP^37462
UN^37049
HO^37012
AN^36679
BW^36013
OK^34923
C5^34292
YO^34118
OD^33695
DE^33543
