#
# PageRank values (http://en.wikipedia.org/wiki/PageRank)
# for the 6715 most important travel-related POR (points of reference).
#
# [PR] Project reference: Open Travel Data (http://github.com/opentraveldata/optd)
# [PR] Generation date: 2014-01-03
# [PR] License: CC-BY-SA (http://creativecommons.org/licenses/by-sa/3.0/deed.en_US)
# [PR] Validity period:
# [PR]   From: 2014-01-02
# [PR]   To: 2014-01-08
#
# pk^iata_code^PageRank
PAR-C^PAR^1.0
LON-C^LON^0.890971925222
NYC-C^NYC^0.855374042543
MOW-C^MOW^0.755102640829
CHI-C^CHI^0.754848759125
ORD-A^ORD^0.680297291901
CDG-A^CDG^0.639239374739
ATL-A^ATL^0.636578687813
ATL-C^ATL^0.636578687813
IST-C^IST^0.625365484655
SAO-C^SAO^0.592500935757
DFW-C^DFW^0.571047869912
DFW-A^DFW^0.531441889823
TYO-C^TYO^0.51166674218
BJS-C^BJS^0.509907378217
SHA-C^SHA^0.49647406407
LHR-A^LHR^0.495453864859
PEK-A^PEK^0.488672801274
BKK-C^BKK^0.485736283667
IST-A^IST^0.471326667711
FRA-C^FRA^0.467155417153
FRA-A^FRA^0.466405201963
SYD-A^SYD^0.464308573665
SYD-C^SYD^0.464308573665
LAX-A^LAX^0.456428632037
LAX-C^LAX^0.456428632037
DEN-A^DEN^0.441790669082
DEN-C^DEN^0.441790669082
YTO-C^YTO^0.440938405171
HOU-C^HOU^0.439521241064
MAD-C^MAD^0.435632401952
AMS-C^AMS^0.411266529909
AMS-A^AMS^0.407491513918
CGK-A^CGK^0.405809700198
JKT-C^JKT^0.405809700198
DXB-C^DXB^0.40283207544
MAD-A^MAD^0.40230969552
WAS-C^WAS^0.39968886862
JNB-C^JNB^0.397609939923
IAH-A^IAH^0.393624193714
DXB-A^DXB^0.385401361306
JNB-A^JNB^0.381874360798
KUL-C^KUL^0.377894180466
YYZ-A^YYZ^0.374104044483
CLT-A^CLT^0.371761600259
CLT-C^CLT^0.371761600259
MEX-A^MEX^0.370499449064
MEX-C^MEX^0.370499449064
BOG-A^BOG^0.364337298902
BOG-C^BOG^0.364337298902
MUC-C^MUC^0.351921918598
MUC-A^MUC^0.351626526359
HKG-C^HKG^0.346980080038
MSP-A^MSP^0.345456109067
MSP-C^MSP^0.345456109067
BNE-A^BNE^0.34402662752
BNE-C^BNE^0.34402662752
DME-A^DME^0.342725869275
HND-A^HND^0.337989890728
SEA-C^SEA^0.336074077006
KUL-A^KUL^0.335403704364
SIN-A^SIN^0.325827542475
SIN-C^SIN^0.325827542475
MEL-C^MEL^0.323593049804
SEL-C^SEL^0.320333135041
SEA-A^SEA^0.318080959138
BUE-C^BUE^0.317411284837
ANC-A^ANC^0.316757402338
ANC-C^ANC^0.316757402338
MEL-A^MEL^0.314962280259
SFO-A^SFO^0.309634064514
SFO-C^SFO^0.309634064514
DEL-A^DEL^0.308528868608
DEL-C^DEL^0.308528868608
JFK-A^JFK^0.307777181668
MNL-A^MNL^0.306254505781
MNL-C^MNL^0.306254505781
BKK-A^BKK^0.306024619913
CAN-A^CAN^0.305361915154
CAN-C^CAN^0.305361915154
EWR-A^EWR^0.301270172012
DTT-C^DTT^0.301097492588
DTW-A^DTW^0.30079620289
HKG-A^HKG^0.298361927764
PHL-C^PHL^0.296174503784
GRU-A^GRU^0.29128511648
SVO-A^SVO^0.290340896052
STO-C^STO^0.288049305335
MIA-A^MIA^0.283118885312
MIA-C^MIA^0.283118885312
PHL-A^PHL^0.283047030491
PVG-A^PVG^0.275462522116
ROM-C^ROM^0.275227760431
FCO-A^FCO^0.274428145772
ORY-A^ORY^0.272146500886
BOM-A^BOM^0.272066912115
BOM-C^BOM^0.272066912115
OSL-C^OSL^0.267536430616
YVR-C^YVR^0.262583935222
ARN-A^ARN^0.256905118698
PHX-A^PHX^0.255122426997
PHX-C^PHX^0.255122426997
LGA-A^LGA^0.253076115316
YVR-A^YVR^0.252527747524
OSL-A^OSL^0.250248441381
BCN-C^BCN^0.247165783411
BRU-C^BRU^0.24277360516
CPH-A^CPH^0.239705255442
CPH-C^CPH^0.239705255442
RIO-C^RIO^0.238383067019
BOS-A^BOS^0.237711412616
BOS-C^BOS^0.237711412616
AKL-A^AKL^0.234284488596
AKL-C^AKL^0.234284488596
VIE-A^VIE^0.233808954136
VIE-C^VIE^0.233808954136
AEP-A^AEP^0.233336276034
QYG-CA^QYG^0.231707758631
BCN-A^BCN^0.230910799818
NBO-C^NBO^0.2295107934
ZRH-C^ZRH^0.229199550268
ZRH-A^ZRH^0.228588298873
MIL-C^MIL^0.226614744285
SHA-A^SHA^0.224386255181
BET-A^BET^0.222953704555
BET-C^BET^0.222953704555
ICN-A^ICN^0.21946805435
BER-C^BER^0.212076333354
SLC-A^SLC^0.210613122523
