ACV	ACV	Arcata Airport	Arcata	CA	US	405845N	1240627W	4	A
ACX	ACX	Xingyi Airport	Xingyi		CN	250508N	1045734E	0	A
ACY	AIY	Atlantic City International Airport	Atlantic City	NJ	US	392700N	0743500W	1	A
ACZ	ACZ	Zabol Airport	Zabol		IR	310509N	0613206E	0	A
ADA	ADA	Adana Airport	Adana		TR	365901N	0351651E	0	A
ADB	IZM	Adnan Menderes Airport	Izmir		TR	381700N	0270900E	0	A
ADC	ADC	Andakombe Airport	Andakombe		PG	070800S	1454400E	0	A
ADD	ADD	Bole Airport	Addis Ababa		ET	085840N	0384753E	0	A
ADE	ADE	Aden International Airport	Aden		YE	124940N	0450150E	0	A
ADF	ADF	Adiyaman Airport	Adiyaman		TR	374500N	0381600E	0	A
ADG	ADG	Lenawee County Airport	Adrian	MI	US	415400N	0840200W	1	A
ADH	ADH	Aldan Airport	Aldan		RU	583600N	1252400E	8	A
ADI	ADI	Arandis Airport	Arandis		NA	222400S	0150000E	0	A
ADJ	AMM	Civil - Marka Airport	Amman		JO	315700N	0355900E	0	A
ADK	ADK	Adak Island Naval Station	Adak Island	AK	US	515258N	1763841W	6	M
ADL	ADL	Adelaide Airport	Adelaide	SA	AU	345654S	1383205E	3	A
ADM	ADM	Ardmore Municipal Airport	Ardmore	OK	US	341811N	0970110W	2	A
ADN	ADN	Andes Airport	Andes		CO	054000N	0755600W	0	A
ADO	ADO	Andamooka Airport	Andamooka	SA	AU	310100S	1370900E	3	A
ADP	ADP	Ampara Airport	Ampara		LK	072011N	0813731E	0	A
ADQ	ADQ	Kodiak Airport	Kodiak	AK	US	574515N	1522900W	5	A
ADR	ADR	Andrews Airport	Andrews	SC	US	332700N	0793400W	1	A
ADS	DFW	Addison Airport	Dallas	TX	US	324700N	0971800W	2	A
ADT	ADT	Ada Airport	Ada	OK	US	344800N	0964000W	2	A
ADU	ADU	Ardabil Airport	Ardabil		IR	381500N	0481800E	0	A
ADV	ADV	Andover Airport	Andover	EN	GB	511300N	0012800W	0	A
ADW	ADW	Andrews Air Force Base	Camp Springs	MD	US	384900N	0765200W	1	M
ADX	ADX	Leuchars Airport	Saint Andrews	SC	GB	562200N	0025200W	0	A
ADY	ADY	Alldays Airport	Alldays		ZA	224000S	0290300E	0	A
ADZ	ADZ	San Andres Island Airport	San Andres Island		CO	123500N	0814200W	0	A
AEA	AEA	Abemama Atoll Airport	Abemama Atoll		KI	002900N	1735100E	1	A
AEB	AEB	Baise Airport	Baise		CN	234312N	1065737E	0	A
AED	AED	Aleneva Airport	Aleneva	AK	US	580200N	1525400W	5	A
AEE	AEE	Adareil Airport	Adareil		SD	100340N	0325800E	0	A
AEG	AEG	Aek Godang Airport	Aek Godang		ID	012359N	0992500E	1	A
AEH	AEH	Abecher Airport	Abecher		TD	135105N	0205103E	0	A
AEI	AEI	Algeciras Airport	Algeciras	SP	ES	361100N	0052700W	1	A
AEK	AEK	Aseki Airport	Aseki		PG	072200S	1461700E	0	A
AEL	AEL	Albert Lea Airport	Albert Lea	MN	US	433900N	0932200W	2	A
AEO	AEO	Aioun El Atrouss Airport	Aioun El Atrouss		MR	164233N	0093808W	0	A
AEP	BUE	Jorge Newbery Airport	Buenos Aires	BA	AR	343332S	0582457W	1	A
AER	AER	Adler/Sochi Airport	Adler/Sochi		RU	432700N	0395600E	2	A
AES	AES	Vigra Airport	Aalesund		NO	623345N	0060619E	0	A
AET	AET	Allakaket Airport	Allakaket	AK	US	663342N	1523930W	5	A
AEU	AEU	Abu Musa Airport	Abu Musa		IR	255315N	0550230E	0	A
AEX	AEX	Alexandria International Airport	Alexandria	LA	US	312000N	0923300W	2	A
AEY	AEY	Akureyri Airport	Akureyri		IS	653925N	0180420W	0	A
AFA	AFA	San Rafael Airport	San Rafael	MD	AR	343521S	0682402W	1	A
AFD	AFD	Port Alfred Airport	Port Alfred		ZA	333500S	0265300E	0	A
AFF	COS	United States Air Force Academy Airport	Colorado Springs	CO	US	385000N	1044200W	3	M
AFI	AFI	Amalfi Airport	Amalfi		CO	065500N	0750400W	0	A
AFK	ADP	Kondavattavan Tank Airport	Ampara		LK	071730N	0813807E	0	A
AFL	AFL	Alta Floresta Airport	Alta Floresta	MT	BR	100000S	0560000W	2	A
AFN	AFN	Jaffrey Municipal Airport	Jaffrey	NH	US	425000N	0720400W	1	A
AFO	AFO	Afton Municipal Airport	Afton	WY	US	424400N	1105600W	3	A
AFR	AFR	Afore Airport	Afore		PG	090800S	1482300E	0	A
AFS	AFS	Zarafshan Airport	Zarafshan		UZ	413649N	0641359E	0	A
AFT	AFT	Afutara Aerodrome	Afutara		SB	091200S	1605100E	0	A
AFW	FTW	Fort Worth Alliance Airport	Fort Worth	TX	US	325912N	0971900W	2	A
AFY	AFY	Afyon Airport	Afyon		TR	384400N	0303600E	0	A
AFZ	AFZ	Sabzevar Airport	Sabzevar		IR	361007N	0573547E	0	A
AGA	AGA	Agadir Almassira Airport	Agadir		MA	302250N	0093245W	0	A
AGB	MUC	Augsburg - Muehlhausen Airport	Munich		DE	482300N	0105300E	0	A
AGC	PIT	Allegheny County Airport	Pittsburgh	PA	US	402117N	0795548W	1	A
AGD	AGD	Anggi Airport	Anggi		ID	012300S	1335200E	3	A
AGE	AGE	Flugplatz Airport	Wangerooge		DE	534700N	0075500E	0	A
AGF	AGF	La Garenne Airport	Agen		FR	441025N	0003555E	0	A
AGG	AGG	Angoram Airport	Angoram		PG	041007S	1440426E	0	A
AGH	AGH	Angelholm Airport	Angelholm/Helsingborg		SE	561735N	0125145E	0	A
AGI	AGI	Wageningen Airport	Wageningen		SR	055000N	0565000W	0	A
